N	M	R_coefficient	Q_coefficient
14	1	-2.3243020754728202e-12	-4.956978036628038e-14
14	2	3.2243157213716165e-13	-3.531670782993692e-13
14	3	-1.354983846150691e-12	-9.882450863432804e-13
14	4	2.88024616164387e-13	8.38476602489653e-13
14	5	1.2693785620550449e-12	1.5661663255013647e-13
14	6	-1.115240922915995e-12	-5.582182856518964e-13
14	7	1.7111539295269429e-12	1.8804912543860797e-12
14	8	-1.5323298332786391e-13	-2.6864729905927954e-13
14	9	-2.4500980520082656e-12	1.4107758020893366e-12
14	10	-1.0027200712508207e-12	-1.3492198365979073e-12
14	11	-5.38117469300528e-13	-1.4031281327724169e-12
14	12	3.5330657063932275e-13	1.6394111035655005e-13
14	13	1.9688181197663602e-12	3.0773813016158656e-13
14	14	8.887368498227268e-13	2.410258322868027e-15
15	0	1.8884171611332574e-13	0.0
15	1	1.1188886032691966e-12	1.1034548263617096e-12
15	2	-7.015193768421714e-13	1.8918249499896044e-13
15	3	-7.764401831220612e-14	2.985936068456852e-13
15	4	1.216973126681776e-12	-2.4928672390813115e-13
15	5	-3.3990285479350496e-13	-6.636144341443444e-13
15	6	-3.7807723750657834e-14	4.939920862228979e-13
15	7	9.218939691606317e-13	-1.7597727842015748e-12
15	8	-5.256175130455117e-13	-6.786376600038973e-13
15	9	5.352195077604444e-13	4.4685515518921725e-14
15	10	1.3755708482877744e-12	-9.613766989593995e-13
15	11	4.394268740108613e-14	-2.859563785474869e-13
15	12	1.4689553530384185e-12	1.5795437787757333e-12
15	13	-1.1196201901680195e-12	-6.70828656520076e-13
15	14	-1.068069949710106e-12	1.5225923561550092e-12
15	15	-2.6068795053552003e-13	7.842298061061585e-13
16	0	7.93919250182852e-13	0.0
16	1	1.2961576805466318e-13	7.384210299854869e-13
16	2	-2.268825269820675e-14	1.5409039834504013e-12
16	3	8.383970366551546e-13	-5.557058187252251e-13
16	4	-5.404212962173181e-13	-1.6901118762210563e-13
16	5	9.131226804463027e-13	1.1452960083146778e-12
16	6	-6.724382924333949e-14	-5.682105011152053e-13
16	7	-6.38543723674982e-13	1.3154864089283026e-12
16	8	-8.589451794377745e-13	-8.580978863815256e-13
16	9	-1.29053333360558e-13	-7.19084232872629e-13
16	10	-5.22007379794161e-13	-6.651134042749937e-13
