LON	LAT	VALUE
170.5	-72.5	-1.2678438738756121
171.5	-72.5	-1.3370602875860256
172.5	-72.5	-1.3960687416826985
173.5	-72.5	-1.5573385822325683
174.5	-72.5	-1.8546203584214207
175.5	-72.5	-2.2038883791041917
176.5	-72.5	-2.4501736997302337
177.5	-72.5	-2.467470675137788
178.5	-72.5	-2.2373532770547637
179.5	-72.5	-1.8509980756204039
180.5	-72.5	-1.4419618028677779
181.5	-72.5	-1.108801640998825
182.5	-72.5	-0.884824891407535
183.5	-72.5	-0.7636797502303811
184.5	-72.5	-0.7414285776007811
185.5	-72.5	-0.8304087424507132
186.5	-72.5	-1.0366431042301896
187.5	-72.5	-1.331418772672055
188.5	-72.5	-1.6515694537088887
189.5	-72.5	-1.9319583755319265
190.5	-72.5	-2.1414207670379386
191.5	-72.5	-2.2915011294312415
192.5	-72.5	-2.4143984919368537
193.5	-72.5	-2.5331993330417695
194.5	-72.5	-2.648561381444527
195.5	-72.5	-2.745324406449513
196.5	-72.5	-2.8051277164661497
197.5	-72.5	-2.81395735786753
198.5	-72.5	-2.7677765537957804
199.5	-72.5	-2.683287381426573
200.5	-72.5	-2.607575581741895
201.5	-72.5	-2.607833765422646
202.5	-72.5	-2.732591908752351
203.5	-72.5	-2.96624171508157
204.5	-72.5	-3.2186419709551175
205.5	-72.5	-3.373093991820661
206.5	-72.5	-3.3667641210102373
207.5	-72.5	-3.2409426481744052
208.5	-72.5	-3.113864542325971
209.5	-72.5	-3.0905144091491024
210.5	-72.5	-3.1802643296688142
211.5	-72.5	-3.2917339237295544
212.5	-72.5	-3.3114931637465705
213.5	-72.5	-3.201716331600512
214.5	-72.5	-3.034628329393649
215.5	-72.5	-2.9349081108203565
216.5	-72.5	-2.9791545511029356
217.5	-72.5	-3.1364935876101105
218.5	-72.5	-3.297241870545111
219.5	-72.5	-3.361386155520521
220.5	-72.5	-3.3111639443501844
221.5	-72.5	-3.2110282242159864
222.5	-72.5	-3.1433403030259455
223.5	-72.5	-3.140648960653253
224.5	-72.5	-3.171587603844979
225.5	-72.5	-3.1851216010079124
226.5	-72.5	-3.166246428891522
227.5	-72.5	-3.150229825355426
228.5	-72.5	-3.184154883291247
229.5	-72.5	-3.2740522148234072
230.5	-72.5	-3.3688715941570098
231.5	-72.5	-3.3987747901698326
232.5	-72.5	-3.335915733356528
233.5	-72.5	-3.224694228086952
234.5	-72.5	-3.1535220309162915
235.5	-72.5	-3.189400848295128
236.5	-72.5	-3.3279558879060853
237.5	-72.5	-3.4988730238966954
238.5	-72.5	-3.6212117595790136
239.5	-72.5	-3.663032626827798
240.5	-72.5	-3.6579864862114
241.5	-72.5	-3.668382282902796
242.5	-72.5	-3.728265930068248
243.5	-72.5	-3.814593100303955
244.5	-72.5	-3.8685492840744677
245.5	-72.5	-3.8457533037050764
246.5	-72.5	-3.750967438112292
247.5	-72.5	-3.6293617450118467
248.5	-72.5	-3.526656003495398
249.5	-72.5	-3.457645373009327
250.5	-72.5	-3.411714263803538
251.5	-72.5	-3.3853860273084013
252.5	-72.5	-3.403121366147878
253.5	-72.5	-3.4981742486246095
254.5	-72.5	-3.667584885893102
255.5	-72.5	-3.8484425340149264
256.5	-72.5	-3.950054723692984
257.5	-72.5	-3.924347818747765
264.5	-72.5	-3.1702051485365845
265.5	-72.5	-2.8218217395667398
266.5	-72.5	-2.667236011823808
267.5	-72.5	-2.7654119297042947
268.5	-72.5	-2.984417144375191
269.5	-72.5	-3.09313476056299
270.5	-72.5	-2.93949983415615
271.5	-72.5	-2.567063307493781
272.5	-72.5	-2.167755854072336
273.5	-72.5	-1.9075383257445802
274.5	-72.5	-1.774769323009881
275.5	-72.5	-1.5874245870373291
276.5	-72.5	-1.1615929644057454
277.5	-72.5	-0.5022634108412798
278.5	-72.5	0.14964032178319261
279.5	-72.5	0.4666647063888823
280.5	-72.5	0.2726400300675895
281.5	-72.5	-0.31425083030672246
282.5	-72.5	-0.944916146261456
283.5	-72.5	-1.2629557667593312
300.5	-72.5	1.309340532395664
301.5	-72.5	0.9943188676629537
302.5	-72.5	0.34132034880181217
303.5	-72.5	-0.4245436282196123
304.5	-72.5	-1.0576360306191608
305.5	-72.5	-1.4335180157659269
306.5	-72.5	-1.5976858224657986
307.5	-72.5	-1.6927540045651763
308.5	-72.5	-1.8269940355565237
309.5	-72.5	-1.9885108096798012
310.5	-72.5	-2.067932455998288
311.5	-72.5	-1.9629793267755795
312.5	-72.5	-1.674556625119841
313.5	-72.5	-1.3168897888350801
314.5	-72.5	-1.0389091278931912
315.5	-72.5	-0.9250125829702337
316.5	-72.5	-0.95248898320101
317.5	-72.5	-1.0289242694093137
318.5	-72.5	-1.0677739800290773
319.5	-72.5	-1.0393213826077523
320.5	-72.5	-0.9677986215610866
321.5	-72.5	-0.8953870589387267
322.5	-72.5	-0.8539308936689679
323.5	-72.5	-0.8640087212576155
324.5	-72.5	-0.9469955600026626
325.5	-72.5	-1.1245292603074406
326.5	-72.5	-1.3988892332497573
327.5	-72.5	-1.733177495535826
328.5	-72.5	-2.054235888873432
329.5	-72.5	-2.280913063049873
330.5	-72.5	-2.3576083999613164
331.5	-72.5	-2.270267689207316
332.5	-72.5	-2.039492675237793
333.5	-72.5	-1.7037939535545357
334.5	-72.5	-1.3080682057225013
335.5	-72.5	-0.8999703346725337
336.5	-72.5	-0.5261114517195464
337.5	-72.5	-0.22241425350667934
338.5	-72.5	-0.003652987665226054
339.5	-72.5	0.13775490742066857
340.5	-72.5	0.2208490885788942
341.5	-72.5	0.2619039118271557
342.5	-72.5	0.26883093189090634
343.5	-72.5	0.24727533429030948
344.5	-72.5	0.209907771822812
345.5	-72.5	0.17794491966209283
170.5	-71.5	-1.0766038007129988
171.5	-71.5	-1.088041440570003
172.5	-71.5	-1.1254565153743399
173.5	-71.5	-1.3049007869090967
174.5	-71.5	-1.6532916681642151
175.5	-71.5	-2.0705389531594744
176.5	-71.5	-2.3829373036339403
177.5	-71.5	-2.451261943435741
178.5	-71.5	-2.253251009919775
179.5	-71.5	-1.882708909150515
180.5	-71.5	-1.4762676650723023
181.5	-71.5	-1.1332094374441972
182.5	-71.5	-0.8880945198954245
183.5	-71.5	-0.7407677983795165
184.5	-71.5	-0.6979140615643199
185.5	-71.5	-0.7799201858906307
186.5	-71.5	-0.9907982627681541
187.5	-71.5	-1.2899067215091358
188.5	-71.5	-1.6017115749417303
189.5	-71.5	-1.8594850063302977
190.5	-71.5	-2.0437599123952968
191.5	-71.5	-2.1817208163409982
192.5	-71.5	-2.311860126320256
193.5	-71.5	-2.4490745420657234
194.5	-71.5	-2.5792211725741367
195.5	-71.5	-2.6793194240201386
196.5	-71.5	-2.736726908330372
197.5	-71.5	-2.750096981489497
198.5	-71.5	-2.721654461562317
199.5	-71.5	-2.6606158435747904
200.5	-71.5	-2.5984932607253386
