N	M	R_coefficient	Q_coefficient
0	0	7.497761740933857e-15	0.0
1	0	2.7434669412277816e-11	0.0
1	1	1.9163754910547782e-11	1.510152795468414e-11
2	0	-1.142670258552757e-11	0.0
2	1	-1.674050514378702e-11	-1.1229594487709808e-11
2	2	-1.5323615789513962e-11	1.3324675187786615e-11
3	0	6.95359605845587e-12	0.0
3	1	-1.8072331232969465e-12	1.0342613444316975e-11
3	2	1.5679932709317538e-12	-8.384958155699606e-12
3	3	8.129511204486225e-13	3.1829710780429147e-13
4	0	-1.2274207730760896e-11	0.0
4	1	6.944145491126702e-12	-2.935215259204532e-12
4	2	7.918356675395159e-13	-5.995590990070885e-12
4	3	-4.3822982960830985e-12	3.1258378922647186e-12
4	4	1.3166004383240637e-12	-6.449670803054081e-13
5	0	9.6351493100751e-12	0.0
5	1	6.254293341021422e-13	4.2316897025446974e-13
5	2	3.787305351756489e-14	-4.02835913278599e-12
5	3	9.968241880061695e-12	4.591251399243732e-12
5	4	-3.9117841671861e-12	2.0722643074078367e-13
5	5	1.442302079622277e-12	-1.0694262270733624e-12
6	0	-4.702978497738942e-12	0.0
6	1	6.177222803679902e-12	-4.469596025469819e-12
6	2	-1.6672543790859805e-12	2.9622221890848816e-12
6	3	-9.954127652562606e-12	3.38466744211451e-13
6	4	3.473681251818791e-12	1.0266084502919133e-12
6	5	3.4625503228955958e-12	-1.6011148193607366e-12
6	6	1.0804627481902264e-12	-1.1074217032024539e-12
7	0	-1.5035802578076605e-12	0.0
7	1	4.1443578049739594e-13	3.8767514649790284e-12
7	2	1.034176921171295e-12	3.809206947290903e-12
7	3	6.661213533148209e-12	-2.2346641241602984e-13
7	4	-3.6075966758532023e-12	-7.158988450068179e-13
7	5	4.234043451474242e-12	-3.405861395365263e-12
7	6	-8.990754349703704e-13	-1.2232221015929929e-12
7	7	4.087608923854725e-12	1.130041294325643e-12
8	0	1.178806497872819e-11	0.0
8	1	-4.0768337339438555e-12	-2.2433241767455075e-13
8	2	-8.367424180729222e-13	-2.7657871200135412e-12
8	3	-3.600220896512379e-12	-3.989500046720986e-12
8	4	-6.969967806509043e-13	2.003059707053772e-12
8	5	1.7928081066484842e-12	6.421960435879869e-13
8	6	-7.09196446504435e-13	-8.607822427459611e-13
8	7	-1.2738664429531121e-12	1.2374390562329696e-12
8	8	-4.703652511458045e-13	1.630342624165242e-12
9	0	-1.0806122594768967e-11	0.0
9	1	-4.937073167502929e-13	-7.0532503977725e-13
9	2	2.6241475162550276e-12	1.0522070054129438e-12
9	3	-1.8887910837478503e-14	4.033693862814399e-12
9	4	-2.577198374218259e-13	-3.1909864444827674e-12
9	5	-8.425008323687757e-13	3.843008967396133e-13
9	6	3.497408258487053e-13	-1.0073433637449522e-12
9	7	-2.574674741693879e-13	-1.6038018832674985e-12
9	8	1.3313771752520945e-12	7.434542972020005e-13
9	9	5.776616901875578e-13	-9.816130537436286e-13
10	0	5.460290255685612e-12	0.0
10	1	-2.4888076477344755e-12	1.6873765518069056e-12
10	2	-2.3716342362994783e-12	-2.4352666389162017e-13
10	3	3.4552765275659694e-12	-4.716543865776057e-12
10	4	6.805441734887679e-13	1.191409336957937e-12
10	5	1.6045566410870177e-12	1.8782409318978947e-12
10	6	2.7527601884929134e-12	-5.688550258999473e-13
10	7	-1.020200112077378e-12	1.2386483588430758e-12
10	8	-3.639360389727844e-13	-2.2507298967994484e-12
10	9	-1.1074379957549362e-12	-4.024953118397581e-13
10	10	-2.8006481158839206e-13	6.231644686499603e-14
11	0	-4.485456985907334e-12	0.0
11	1	1.5680375165384458e-12	-1.7779018614791042e-12
11	2	2.4602810344505412e-12	-1.6356068260704104e-12
11	3	-1.1037843740675082e-12	1.2847701932634202e-12
11	4	4.952268314649857e-13	-2.139194542858078e-12
11	5	-1.3965927465927976e-12	-5.005241500889449e-13
11	6	-4.549621061957744e-13	1.1863145299567175e-12
11	7	1.8358254830728252e-12	-1.9659938479910646e-12
11	8	5.081298569654174e-13	-7.446368402984773e-13
11	9	9.52023561810841e-13	1.729570938309618e-12
11	10	1.530496566383892e-14	-2.304269448854567e-13
11	11	-1.362250971178575e-12	-5.32731839987412e-13
12	0	7.715129250326923e-13	0.0
12	1	6.818507387712088e-13	1.1383395456378258e-12
12	2	4.907829722347471e-13	1.189559519915919e-12
12	3	2.5462391074622545e-12	1.8491477427311142e-14
12	4	-2.369121129341163e-13	-3.5270942318007794e-13
12	5	-1.1059524230336181e-12	1.0360996488472234e-12
12	6	1.7489647637608133e-12	-1.4694961823231826e-12
12	7	-1.3883399022792005e-12	-1.5055868647512032e-12
