LON	LAT	VALUE
170.5	-72.5	0.4240162811143171
171.5	-72.5	0.11196807026073266
172.5	-72.5	-0.1426786165624932
173.5	-72.5	-0.278814977941208
174.5	-72.5	-0.3130116136430272
175.5	-72.5	-0.32086704833414204
176.5	-72.5	-0.3930834983484534
177.5	-72.5	-0.5856186811426992
178.5	-72.5	-0.8835718121608991
179.5	-72.5	-1.198489605009245
180.5	-72.5	-1.4090354818717212
181.5	-72.5	-1.4298834501581585
182.5	-72.5	-1.2673982047897085
183.5	-72.5	-1.0195111405961184
184.5	-72.5	-0.8124654306970691
185.5	-72.5	-0.7163604383099679
186.5	-72.5	-0.7027072411222604
187.5	-72.5	-0.6771624335478721
188.5	-72.5	-0.5603956509242032
189.5	-72.5	-0.3505974519207615
190.5	-72.5	-0.11793511813047922
191.5	-72.5	0.05957755814959508
192.5	-72.5	0.1601349745131426
193.5	-72.5	0.2275632001442978
194.5	-72.5	0.32347423351577087
195.5	-72.5	0.4704744793638994
196.5	-72.5	0.6385608952366548
197.5	-72.5	0.7825551925350047
198.5	-72.5	0.8897260240537546
199.5	-72.5	0.98950580118372
200.5	-72.5	1.1163943710331372
201.5	-72.5	1.2637078057336597
202.5	-72.5	1.3751548208764743
203.5	-72.5	1.3853480656026622
204.5	-72.5	1.2741092904140885
205.5	-72.5	1.0862016196862059
206.5	-72.5	0.8991989527309813
207.5	-72.5	0.7678240376354711
208.5	-72.5	0.6918146244757188
209.5	-72.5	0.6313254187305818
210.5	-72.5	0.5521836146612396
211.5	-72.5	0.4604729374059077
212.5	-72.5	0.39936289442240025
213.5	-72.5	0.41510775046898707
214.5	-72.5	0.5225201043826154
215.5	-72.5	0.6954005526823567
216.5	-72.5	0.8835220889286328
217.5	-72.5	1.0383185775248482
218.5	-72.5	1.1292350705208356
219.5	-72.5	1.1466199162156323
220.5	-72.5	1.098717484990896
221.5	-72.5	1.0096180464831306
222.5	-72.5	0.916446288127996
223.5	-72.5	0.8596427933170129
224.5	-72.5	0.8659070242600747
225.5	-72.5	0.9332951939051659
226.5	-72.5	1.0309533811983118
227.5	-72.5	1.1172499780365517
228.5	-72.5	1.1661596077124101
229.5	-72.5	1.1844159643220764
230.5	-72.5	1.2076097045453043
231.5	-72.5	1.2777460625928858
232.5	-72.5	1.4168557449381227
233.5	-72.5	1.6126781097626581
234.5	-72.5	1.8234755153701534
235.5	-72.5	1.9971918265367303
236.5	-72.5	2.0934816985553097
237.5	-72.5	2.098361395777551
238.5	-72.5	2.0271869321208107
239.5	-72.5	1.9172330397313257
240.5	-72.5	1.8137056839699832
241.5	-72.5	1.7535465670017638
242.5	-72.5	1.7519343610794627
243.5	-72.5	1.7969907083604029
244.5	-72.5	1.8565578648502534
245.5	-72.5	1.8953508715041791
246.5	-72.5	1.893514215773656
247.5	-72.5	1.8544705426749561
248.5	-72.5	1.7956851220253869
249.5	-72.5	1.7286996557487295
250.5	-72.5	1.6452381941681211
251.5	-72.5	1.5241388263045292
252.5	-72.5	1.3576788124443004
253.5	-72.5	1.1766468091236504
254.5	-72.5	1.0483238365744016
255.5	-72.5	1.0390294081425127
256.5	-72.5	1.1630954517248047
257.5	-72.5	1.3589193922860046
264.5	-72.5	3.030328616340306
265.5	-72.5	3.851241088493745
266.5	-72.5	4.5497076734637725
267.5	-72.5	5.028047175577236
268.5	-72.5	5.319714921823688
269.5	-72.5	5.531026765821147
270.5	-72.5	5.733655730706253
271.5	-72.5	5.891904649841186
272.5	-72.5	5.879913758117115
273.5	-72.5	5.572795643210523
274.5	-72.5	4.938904264638469
275.5	-72.5	4.0628852671380695
276.5	-72.5	3.0874778697532124
277.5	-72.5	2.1275096096905197
278.5	-72.5	1.2281064296643782
279.5	-72.5	0.396259649487192
280.5	-72.5	-0.3321747256202563
281.5	-72.5	-0.861035045578448
282.5	-72.5	-1.0782090828709747
283.5	-72.5	-0.9464226512467353
300.5	-72.5	1.1455294985963302
301.5	-72.5	1.0467208226832438
302.5	-72.5	0.79572367601097
303.5	-72.5	0.42177528168172956
304.5	-72.5	-0.018074041572470476
305.5	-72.5	-0.4557601719682894
306.5	-72.5	-0.8302041646371329
307.5	-72.5	-1.1039470897264196
308.5	-72.5	-1.2682621496913922
309.5	-72.5	-1.330322128866446
310.5	-72.5	-1.2932345672135042
311.5	-72.5	-1.1521010987459375
312.5	-72.5	-0.9174060718009474
313.5	-72.5	-0.6460543919824893
314.5	-72.5	-0.44074126040675987
315.5	-72.5	-0.3969548157687433
316.5	-72.5	-0.5256271193248967
317.5	-72.5	-0.7155154765522327
318.5	-72.5	-0.7828721168898053
319.5	-72.5	-0.5907260589507358
320.5	-72.5	-0.15737197773001024
321.5	-72.5	0.33006954392608995
322.5	-72.5	0.6158104265886393
323.5	-72.5	0.5231797412169668
324.5	-72.5	0.04853083108960341
325.5	-72.5	-0.6570741276885163
326.5	-72.5	-1.3914277117744556
327.5	-72.5	-2.0058765890194157
328.5	-72.5	-2.4416088685458135
329.5	-72.5	-2.695054196692366
330.5	-72.5	-2.7675945536438245
331.5	-72.5	-2.6548078669124453
332.5	-72.5	-2.3796113563513233
333.5	-72.5	-2.0239371976238325
334.5	-72.5	-1.7123476477081077
335.5	-72.5	-1.5478700193819612
336.5	-72.5	-1.5494542193343803
337.5	-72.5	-1.644573186525099
338.5	-72.5	-1.7249667432422842
339.5	-72.5	-1.7199767558946195
340.5	-72.5	-1.6290615940258748
341.5	-72.5	-1.4937879888291075
342.5	-72.5	-1.3435359177567539
343.5	-72.5	-1.1689616329332926
344.5	-72.5	-0.9461764723839156
345.5	-72.5	-0.6832552667295225
170.5	-71.5	0.5985751580751507
171.5	-71.5	0.26568682462929505
172.5	-71.5	-0.009151779159238075
173.5	-71.5	-0.17093499696912676
174.5	-71.5	-0.23563123936119315
175.5	-71.5	-0.2719644271371667
176.5	-71.5	-0.36633463686035084
177.5	-71.5	-0.5801449810608567
178.5	-71.5	-0.910743734376957
179.5	-71.5	-1.277480753649232
180.5	-71.5	-1.5533673492784337
181.5	-71.5	-1.6362177372851192
182.5	-71.5	-1.5163514719878866
183.5	-71.5	-1.287477561721613
184.5	-71.5	-1.0836490122932119
