N	M	R_coefficient	Q_coefficient
0	0	3.012712793358685e-14	0.0
1	0	5.2273936342322526e-11	0.0
1	1	2.161136824071405e-12	1.001958434118867e-10
2	0	-2.8767166885111283e-11	0.0
2	1	-3.228761007652703e-11	-3.7092742066528654e-11
2	2	-1.344816375529271e-11	-9.337550253525676e-13
3	0	3.846142016058461e-12	0.0
3	1	2.4327952368825277e-11	2.03475625016497e-11
3	2	-1.6313477228903134e-12	-1.2385621202925603e-12
3	3	-1.5105364759661782e-12	-3.6681417387925416e-12
4	0	-4.067044418764893e-12	0.0
4	1	-1.48715754372945e-11	-1.1999761198490265e-11
4	2	1.6589700971880887e-11	-8.717965940772234e-12
4	3	3.3173585073850914e-12	6.417532198788273e-12
4	4	-2.054819662639725e-12	4.598618036107697e-12
5	0	-5.763966579211241e-12	0.0
5	1	1.7478146303793806e-11	8.679913550434668e-12
5	2	-5.196268455985753e-12	-2.622928245777912e-13
5	3	-5.824053487506378e-12	-3.9678561095720026e-12
5	4	2.764397242667259e-12	-6.659396615892352e-12
5	5	2.4260118085717846e-12	-2.432808963813919e-12
6	0	4.503159144251014e-12	0.0
6	1	5.808798305135558e-12	-4.154692266635665e-12
6	2	-2.550457255610472e-12	1.2861160282191043e-14
6	3	3.896167902010772e-12	3.090446821021709e-12
6	4	4.207796591026968e-12	2.5110748161991724e-12
6	5	-5.234871144160032e-13	-2.864647759712928e-12
6	6	3.1565546384361432e-12	1.0822897360623864e-12
7	0	-6.949191027780384e-13	0.0
7	1	-5.124309231123986e-12	-2.656994247124197e-12
7	2	-2.9023362765636858e-12	9.293832765413336e-12
7	3	-3.488744184404159e-12	9.429354624649256e-13
7	4	-1.369210724314732e-12	-4.32787658350757e-12
7	5	1.2074264418257897e-12	-2.7230414901210055e-12
7	6	2.43652922164622e-12	-1.5065551731907666e-12
7	7	1.138796699598937e-12	-2.7330476727975273e-13
8	0	1.1205778187531164e-11	0.0
8	1	-1.6073122022502792e-12	7.655806069043753e-12
8	2	-5.770184665635799e-12	1.8171437728336763e-13
8	3	8.378891939276954e-12	-6.576926541334289e-12
8	4	-1.4785243662614137e-12	1.803006510326346e-12
8	5	-1.3776799349226779e-12	-1.0970895968809779e-12
8	6	1.043774732736101e-13	-3.052006258000709e-12
