N	M	R_coefficient	Q_coefficient
0	0	8.829393444973751e-15	0.0
1	0	6.061099351382782e-11	0.0
1	1	-3.2506669206453045e-11	5.99114376639688e-11
2	0	-4.084129736068413e-11	0.0
2	1	-1.1738852338338551e-11	-1.4349972375578532e-11
2	2	-2.020541317246031e-11	1.6837071494657981e-12
3	0	1.4906986079400642e-11	0.0
3	1	6.823083618789539e-12	1.996536324471521e-12
3	2	4.418346223828648e-12	-1.0544061533765505e-11
3	3	-2.6222000495506926e-12	-3.7756937147770573e-13
4	0	-1.2851021481026806e-11	0.0
4	1	-1.1156358917894502e-11	5.674289566962108e-13
4	2	8.1768308218403e-12	-5.6390733903730435e-12
4	3	3.059462617572337e-12	6.7118373598275465e-12
4	4	-8.886398369542641e-13	3.816842666996313e-13
5	0	-1.1144742317968887e-11	0.0
5	1	1.1700852423236713e-11	5.506821297905398e-12
5	2	-1.3391484093338716e-12	6.448512751798275e-13
5	3	-4.222814704362542e-12	-2.6991675732182813e-13
5	4	-9.646985525839824e-14	-5.7094035847936096e-12
5	5	4.199817981196876e-12	-7.358066884002654e-13
6	0	1.1340895861884248e-11	0.0
6	1	5.284239158353535e-12	-1.434469889539094e-12
6	2	-3.763377389898288e-12	-1.400619428777456e-12
6	3	-3.516355768509697e-14	1.1198615361202927e-12
6	4	3.094207591321047e-13	1.0727031188565187e-12
6	5	-3.356380315081885e-13	-3.405279909033655e-12
6	6	1.5882499081565473e-13	2.1933057110641453e-12
7	0	-5.286582946807947e-12	0.0
7	1	-5.1826250945942245e-12	-2.551184788746751e-13
7	2	-3.2430206783479804e-12	8.234129483656596e-12
7	3	7.406169182772585e-13	2.6326888908415705e-12
7	4	8.013720515663266e-13	-4.4191662941226195e-12
7	5	3.5909487124877868e-12	-2.702585361618283e-12
7	6	-2.3423053936103264e-13	-1.1957112284879538e-13
7	7	1.859492901967926e-12	2.7034821155690074e-13
8	0	1.508106395945805e-11	0.0
8	1	-2.8259749598935886e-12	1.1332524876726254e-13
8	2	-6.646712638263571e-12	4.758779086857693e-12
8	3	3.152506468661035e-12	-3.3953079846191747e-12
8	4	-2.2337019171134152e-12	2.9133729103494376e-12
8	5	-2.8267529266579413e-12	-9.990196120046627e-13
8	6	-7.93116049740142e-13	-1.5166966983898575e-12
8	7	-8.075337039810073e-13	-1.9803819111227521e-13
8	8	1.427300615423743e-12	8.749407607605616e-13
9	0	-3.705396037364158e-12	0.0
9	1	-8.80375139470853e-12	-4.376260467740741e-13
9	2	-2.407017496987054e-13	-2.410401753280417e-12
9	3	1.899435926320295e-12	4.524770118525443e-12
9	4	1.233561952394819e-12	-4.524575498576359e-13
9	5	1.2073689704480957e-12	1.2575176516441723e-12
9	6	1.115666243071555e-12	1.0299676289429698e-12
9	7	-9.813902249951507e-13	1.5214370569478294e-12
9	8	1.496175552714414e-12	6.332901770915336e-13
9	9	-2.902235094261101e-13	-1.2725636043786836e-12
10	0	1.0989613692764792e-12	0.0
10	1	-6.062560287584115e-13	5.269496647902062e-13
10	2	-3.6601763518728994e-12	-1.2102620314265488e-12
10	3	8.601170174141331e-13	-9.895022537778214e-13
10	4	1.054059477025083e-12	3.981369509778031e-13
10	5	-6.326392861908317e-13	1.4196475015912944e-12
10	6	9.962378674279107e-13	-9.335573068985071e-13
10	7	-2.168644467962453e-12	-1.8879143830309947e-13
10	8	1.93608488999791e-12	-2.679608744339537e-13
10	9	-4.502316946389388e-13	7.005921490350438e-13
10	10	-3.68195625109276e-13	-2.4356368982421594e-13
11	0	6.683074007593246e-13	0.0
11	1	4.0415959121886417e-13	2.454156411235792e-13
11	2	1.1089283158432064e-12	-1.9170529731696293e-12
11	3	-2.5146500952322364e-13	1.5638204232220742e-12
11	4	-2.1976120094879263e-12	8.241683891792633e-13
11	5	1.4476822016663208e-12	1.5725281510607983e-12
11	6	1.2169349904936969e-12	1.733066514172577e-12
11	7	-1.755270291832651e-14	7.199294288393899e-13
11	8	8.255256273323811e-13	2.9998884711941794e-13
11	9	1.2755591027651074e-12	4.109514280374078e-13
11	10	-1.9291278468466612e-13	6.160438188754601e-13
11	11	-1.9683747729924202e-13	4.057457204636324e-14
12	0	-2.806296865267849e-12	0.0
12	1	2.260827939933704e-12	-2.756787839755581e-13
12	2	1.3943131836326244e-12	-1.5477327307148003e-12
12	3	-2.937588473033211e-12	4.4409178281296024e-13
12	4	1.57096742390242e-14	-4.328716111318842e-13
12	5	1.3929788558437487e-13	1.5351345443242574e-12
12	6	1.1140132929827883e-12	-9.031807431692545e-13
12	7	5.374902853096253e-14	-9.129937015695385e-13
12	8	1.9298705133598482e-12	5.198975742846494e-13
12	9	7.737871640123546e-14	1.0884607450326316e-12
12	10	-5.882976868422406e-13	1.1446914273750178e-13
12	11	3.117264255803031e-13	-7.769454356536334e-13
12	12	-2.4550041629792107e-13	-9.250567018026919e-14
13	0	2.8398416678209317e-12	0.0
13	1	4.677184003873545e-12	-2.0947912987188315e-12
13	2	3.9578852309377594e-13	1.941418106359593e-12
13	3	-2.0916306466427603e-12	2.321194965498193e-13
13	4	-1.8956187804625946e-12	-5.074955071008607e-13
13	5	3.207680101136061e-13	1.0717038796560379e-12
13	6	-1.8127724226015445e-12	8.089989996850995e-13
13	7	-8.517616913827781e-13	7.213692476830244e-13
13	8	-2.657276031732761e-13	-7.041918176484421e-13
13	9	7.497290022353469e-13	6.812648142948087e-13
13	10	1.1099732625946799e-12	-2.3733884796637075e-14
13	11	9.102606361689452e-13	-5.35205491532626e-13
13	12	1.1626236924746628e-12	1.2075208444996224e-13
13	13	-1.585411872874899e-13	-4.964107567004471e-13
14	0	-1.7366512283422822e-12	0.0
14	1	6.719351067807036e-13	-1.8444347699213872e-13
14	2	1.1856911179723289e-12	4.93757590453572e-13
14	3	-1.7843639181553916e-12	-9.834553850585655e-14
14	4	-3.0127091735105946e-12	-2.1236063529084663e-14
14	5	-2.5344029100483387e-13	9.834755435536575e-13
14	6	-1.224689344441047e-13	-9.634521439022591e-13
14	7	1.816162958319495e-12	1.6526247115662587e-12
14	8	1.1654506980082417e-13	-5.039516752159867e-13
14	9	-4.5077986286278604e-13	2.917607185971922e-12
14	10	5.161980484544717e-13	4.0272803062364207e-16
14	11	1.460592260879817e-13	3.1511626825010396e-13
14	12	2.7282447808286145e-13	5.909244342741924e-13
14	13	-6.128195420414053e-13	6.850003268841578e-14
14	14	-1.278407579213381e-13	5.170453456140958e-13
15	0	1.5937534928419588e-13	0.0
15	1	9.475268695868579e-13	3.7253088375085006e-13
15	2	-3.107431874929526e-13	7.128012731579178e-13
15	3	-1.0491820919234909e-12	-6.514971874471883e-13
15	4	-6.224169126417206e-13	-7.78561510113354e-13
15	5	6.520779545484608e-13	-1.3359481403891538e-12
15	6	-1.3129082720630315e-13	-9.215184084866836e-13
15	7	1.1033493237409416e-12	1.2783876583276705e-12
15	8	8.199448469091506e-13	3.7636821136892787e-13
15	9	-1.6563295730234105e-14	1.2712587918117527e-12
15	10	1.0236853619369348e-12	3.834226700470892e-13
15	11	4.1172992617077456e-13	4.6953042037238014e-14
15	12	7.12480660374406e-14	4.3560953998010986e-13
15	13	-6.639675808367858e-13	-2.9284898334647026e-13
15	14	4.793648926702772e-13	1.337729280452939e-13
15	15	-5.078443254736947e-13	-1.6521761369020527e-13
16	0	-1.2267014590140715e-12	0.0
16	1	-4.218368566200547e-14	1.1873904564709222e-12
16	2	1.5238498973862528e-12	-3.1303130562762093e-13
16	3	1.2504452357438986e-13	-7.994930680466161e-13
16	4	-8.766095850593338e-13	3.031517233413327e-13
16	5	-1.2021971511728351e-12	6.126563502134999e-13
16	6	1.725098298527505e-13	7.655049522169328e-13
16	7	8.898572510474601e-13	2.731671658538513e-12
16	8	-5.33200483126573e-13	5.536898806228656e-13
16	9	3.1991801212762396e-13	8.682869615406328e-13
16	10	-1.3576831958734069e-13	-1.1348646747839893e-12
16	11	9.059853435498819e-13	2.9755558109373367e-13
16	12	-3.5532575731452565e-13	1.2801171215990604e-13
16	13	-3.746419419470017e-13	-2.3384027037073242e-14
16	14	-3.246214622774085e-13	-1.4421716424238088e-13
16	15	1.0238061276365259e-13	4.491381033892565e-13
16	16	6.149022745037378e-13	-3.947404248014547e-13
17	0	5.164310527879093e-13	0.0
17	1	-2.8472432253625714e-15	-2.040390797648024e-13
17	2	1.6185254773116268e-14	-1.0755365464327211e-12
17	3	-1.1203931186339474e-14	-3.882135689277794e-14
17	4	-3.7530371107219316e-13	5.105250951838567e-13
17	5	-1.3226796871308605e-12	9.527610856622043e-13
17	6	-4.274241878215497e-13	-1.0983635183030975e-12
17	7	-9.623700505259422e-13	1.658005371844843e-13
17	8	8.47707048452997e-13	-3.3742496431483323e-13
