LON	LAT	VALUE
170.5	-72.5	-0.27261097478835733
171.5	-72.5	-0.530298342036889
172.5	-72.5	-0.7182241438257733
173.5	-72.5	-0.8624650655598362
174.5	-72.5	-1.0423573866816354
175.5	-72.5	-1.313310408316265
176.5	-72.5	-1.6548302505091064
177.5	-72.5	-1.9786394143972523
178.5	-72.5	-2.184312684367674
179.5	-72.5	-2.219267997573878
180.5	-72.5	-2.1039748819721287
181.5	-72.5	-1.911738047320398
182.5	-72.5	-1.7216107280847959
183.5	-72.5	-1.5752532589397146
184.5	-72.5	-1.4613253835727205
185.5	-72.5	-1.332640024734667
186.5	-72.5	-1.1426951189368277
187.5	-72.5	-0.8780219345909627
188.5	-72.5	-0.5660996510135948
189.5	-72.5	-0.2546705678404848
190.5	-72.5	0.02170785390235437
191.5	-72.5	0.26225959360161744
192.5	-72.5	0.49182954951003466
193.5	-72.5	0.7316089869332039
194.5	-72.5	0.9747381139416744
195.5	-72.5	1.188899361736292
196.5	-72.5	1.343641752001566
197.5	-72.5	1.4367368600568362
198.5	-72.5	1.4938733543021612
199.5	-72.5	1.541006344482778
200.5	-72.5	1.5758229519212363
201.5	-72.5	1.5674273524610276
202.5	-72.5	1.4872487399185805
203.5	-72.5	1.3432493593460713
204.5	-72.5	1.1838826331001702
205.5	-72.5	1.064865860907718
206.5	-72.5	1.0065492872008681
207.5	-72.5	0.9796563876707647
208.5	-72.5	0.9324755696034451
209.5	-72.5	0.8359564250987443
210.5	-72.5	0.7083253329699973
211.5	-72.5	0.6003608166476959
212.5	-72.5	0.5567089708745033
213.5	-72.5	0.5858862223538741
214.5	-72.5	0.6588158735769902
215.5	-72.5	0.7290252289344223
216.5	-72.5	0.7537671528497641
217.5	-72.5	0.7042839605739635
218.5	-72.5	0.5703883108378834
219.5	-72.5	0.3683419742123804
220.5	-72.5	0.14816740655626282
221.5	-72.5	-0.01526188393145436
222.5	-72.5	-0.05532702013963546
223.5	-72.5	0.04508936911583695
224.5	-72.5	0.23662729477461988
225.5	-72.5	0.43107279099922086
226.5	-72.5	0.5591031957248642
227.5	-72.5	0.6160111406153181
228.5	-72.5	0.6594595969005616
229.5	-72.5	0.7607326425598256
230.5	-72.5	0.9482435945784187
231.5	-72.5	1.1870367547356542
232.5	-72.5	1.4067473997108648
233.5	-72.5	1.55072697951407
