N	M	R_coefficient	Q_coefficient
0	0	2.237047257210531e-14	0.0
1	0	1.18302842043576e-11	0.0
1	1	-6.412467556873468e-11	-1.7801825257148816e-11
2	0	9.02129349465161e-13	0.0
2	1	1.3678077664324642e-12	1.2768405876104239e-11
2	2	3.203772221125058e-12	7.2323103249555646e-12
3	0	-7.02750089925696e-12	0.0
3	1	1.7667885382390864e-12	4.461933275447234e-12
3	2	6.599072574628112e-12	-1.0953468034049417e-11
3	3	3.064179196324405e-12	8.15180051121511e-12
4	0	-4.706066468193934e-12	0.0
4	1	3.0656349228578346e-12	-9.340680669483739e-12
4	2	-5.042885254688078e-12	3.5577555098010367e-12
4	3	3.1393412288252367e-12	-1.5720363491951379e-12
4	4	-3.4035284172288353e-12	2.9569024965186935e-12
5	0	1.4098448956666087e-13	0.0
5	1	1.6640898310591284e-11	4.637522109451504e-12
5	2	5.4389485773601466e-12	-4.959133940051558e-12
5	3	-2.4985422543064372e-12	5.252488078250274e-12
5	4	3.496485400798058e-12	-6.93378317658849e-13
5	5	-4.222601016558182e-12	-6.628429490404458e-13
6	0	-1.4741054724533614e-12	0.0
6	1	5.081385747793039e-12	-4.638018334100737e-12
6	2	-7.282424538742151e-12	1.0309140337135315e-12
6	3	-2.5371415840030087e-12	-3.275598929641623e-13
6	4	2.434738532506472e-12	2.140968869037952e-12
6	5	5.665762126887122e-13	-1.4134980901275015e-12
6	6	3.0439674342206337e-12	2.124732176092102e-12
7	0	9.178498647268165e-12	0.0
7	1	2.5934450807429244e-12	9.726967673617614e-13
7	2	-2.308945272702847e-12	4.381032493243492e-12
7	3	1.0073726259893737e-14	4.0146389183310204e-12
7	4	1.3137359125373329e-12	-1.289864772374199e-12
7	5	1.0704375829427845e-13	-3.569644602605251e-12
7	6	1.5628935816194305e-12	-3.4403570749985285e-13
7	7	1.3274918194796958e-12	-1.5072597607497588e-12
8	0	3.4931887712514134e-12	0.0
8	1	-3.241757041705929e-12	5.0608809182560856e-12
