N	M	R_coefficient	Q_coefficient
0	0	1.920653606361349e-14	0.0
1	0	1.276592825518383e-10	0.0
1	1	-1.0758346431531905e-10	7.950926255575646e-11
2	0	-5.973613213280665e-11	0.0
2	1	-2.2068633198414683e-11	-1.2691198233524354e-11
2	2	9.917257108632027e-12	-3.4189208900857543e-12
3	0	1.308014093678746e-11	0.0
3	1	2.7833919975017772e-11	1.5638853334809583e-11
3	2	-6.476062178980805e-12	-5.613057262937585e-13
3	3	8.720311148195388e-12	7.233053861192193e-12
4	0	-2.105799983535099e-12	0.0
4	1	-1.4792345644714994e-11	-1.6914710638642988e-11
4	2	2.8203019661433177e-11	3.1699370321091816e-12
4	3	1.2721123413214659e-11	3.502950879779715e-12
4	4	-2.1733168496636413e-12	1.294588024238604e-11
5	0	-1.3345344276305638e-11	0.0
5	1	1.7076150554617183e-11	6.4525898098921665e-12
5	2	-1.3892314271031392e-11	3.2323752077379096e-12
5	3	-9.346822725921784e-12	-1.3087032670293108e-12
5	4	4.571712205337601e-13	-4.468151366691272e-12
5	5	4.611975781849228e-13	-2.1330124019711486e-12
6	0	1.2930807651313427e-11	0.0
6	1	6.219618371463757e-12	-4.9422636491660574e-12
6	2	1.590545030519237e-12	-8.774839955947879e-12
6	3	8.708345941696662e-12	6.836205798503539e-12
6	4	4.70474587347236e-12	3.3964423481620594e-12
6	5	-7.017892438793018e-12	1.0678198198665166e-12
6	6	4.242970273610909e-12	2.621986459401268e-12
7	0	-5.494172748524153e-12	0.0
7	1	-1.1424662141752232e-12	-1.8025707765638872e-12
7	2	-5.758389088622292e-12	9.270246953219454e-12
7	3	-5.323262687093232e-12	-4.476398510515396e-13
7	4	-5.5646212993312924e-12	-4.265743984060098e-12
7	5	9.669486631487653e-12	-1.173828830971834e-12
7	6	3.48742270984231e-12	-9.417387093262627e-13
7	7	2.264492614031153e-13	-5.691211066564106e-13
8	0	1.4867699311706127e-11	0.0
8	1	2.037273974580249e-12	4.946117660858867e-12
8	2	-9.041707032379352e-12	-1.654661516434312e-12
8	3	6.530625664058572e-12	-6.4284613123946086e-12
8	4	8.105917646273442e-13	2.1579344992208993e-12
8	5	-2.747058227596771e-12	-7.655647152010753e-13
8	6	-5.636401130650422e-13	-1.3354967641323027e-12
8	7	1.2510028726476016e-12	5.606523360440551e-13
8	8	2.0980142114419882e-12	1.2150938901035178e-13
9	0	-6.959996316688869e-12	0.0
