N	M	R_coefficient	Q_coefficient
0	0	1.3855653644169474e-14	0.0
1	0	5.11755954446119e-11	0.0
1	1	2.573462614878e-11	2.8596492274055155e-11
2	0	-1.630196781368608e-11	0.0
2	1	-7.510035337483238e-12	-1.0558087963273906e-11
2	2	-4.850587112405703e-12	-1.0098673983194884e-11
3	0	3.71074341735156e-12	0.0
3	1	7.49997150086537e-12	-4.820826863962732e-13
3	2	-1.6134200494853541e-12	-1.0043509009090529e-11
3	3	3.8566286327665285e-13	-5.859805869339859e-12
4	0	-2.9046653745070304e-12	0.0
4	1	1.6571743771441977e-12	1.0051474550165737e-12
4	2	6.456818047413728e-12	-7.74100174207365e-12
4	3	-6.070339261333747e-12	9.60169398397379e-12
4	4	-2.0079690830267836e-12	-3.9817346432252344e-13
5	0	-9.580156651943502e-12	0.0
5	1	1.287456863596414e-11	2.994439348523326e-12
5	2	3.664759811636811e-12	3.276697796452669e-14
5	3	1.7540778083704233e-12	-6.711671476558049e-12
5	4	1.5744240121382534e-12	-2.7695580930265826e-12
5	5	2.4586045283782103e-12	-2.5532661949910085e-12
6	0	7.28853621880901e-12	0.0
6	1	1.2070750140714082e-11	-2.480398095002765e-12
6	2	-4.673426685025108e-12	-3.1279717465392187e-13
6	3	-1.5666143943714009e-12	4.4513341555442695e-12
6	4	3.119389142464524e-12	8.530564072842566e-13
6	5	-3.656906151641727e-12	-4.216308972335255e-12
6	6	1.2599661228895772e-12	1.6417339370278707e-12
7	0	-6.945724629956018e-13	0.0
7	1	-2.7360018035723712e-12	-1.4846904536295503e-12
7	2	1.3418850273693595e-12	1.8881758199982365e-12
7	3	3.72067734994449e-12	-2.3185985290437833e-12
7	4	1.269281072637506e-13	-2.3778293018677106e-12
7	5	2.53987740274513e-12	-2.430196588420079e-12
7	6	2.7781483746271064e-12	7.172747808888892e-13
7	7	4.899492177268129e-13	-1.0825220557446636e-12
8	0	7.170657522222553e-12	0.0
8	1	-1.6926204752260677e-12	2.56610739935841e-12
8	2	-6.21445905694341e-12	2.3817800841564152e-12
8	3	6.31011089397124e-12	2.6645412686266705e-13
8	4	-9.279715701877728e-13	-3.729201563315257e-12
8	5	-2.7661210968048252e-12	-3.3034122673076602e-12
8	6	-1.7070834036437098e-12	-2.5756020028982373e-12
8	7	-2.3372460666411726e-13	7.495649600207612e-13
8	8	9.126552800329146e-13	4.610174095212417e-13
9	0	-8.061451142926951e-13	0.0
9	1	-8.794633124098625e-12	-1.0027118053224386e-12
9	2	-9.814211489183573e-13	-2.062842949026941e-12
9	3	3.041907234875636e-12	3.54793931709612e-13
9	4	-2.01979584610816e-12	1.1096267682757726e-12
9	5	2.801758090077831e-12	4.194244899766924e-12
9	6	2.5081516962529095e-12	1.1594226382006618e-12
9	7	-7.114046387689097e-13	-6.287439558748724e-13
9	8	-3.3354868813208516e-13	5.222931254680273e-13
9	9	6.847504659113507e-13	4.5425578474188163e-13
10	0	-3.415281786268141e-12	0.0
10	1	-4.753317623628155e-12	2.3455770620274287e-13
10	2	3.449582012572605e-12	-9.203726423844185e-13
10	3	3.989231905230528e-12	1.805405031145981e-13
10	4	5.196229376690894e-13	-1.007618054372834e-12
10	5	-9.599562673185644e-16	-1.1459669291274964e-12
10	6	3.06594421319384e-13	-1.2474966523034738e-12
10	7	-6.558981624956221e-13	-2.4629574645647154e-13
10	8	1.139064135191061e-13	-3.5026189821824827e-13
10	9	6.494781569682364e-13	-1.067549739613219e-12
10	10	-2.4220296328410917e-13	5.755746415202153e-13
11	0	3.817686988881525e-13	0.0
11	1	1.7426259970653895e-12	9.60198647050919e-13
11	2	7.864514441749271e-13	-5.921517581476289e-13
11	3	4.2752280194000166e-13	1.0629830959986709e-12
11	4	-5.954182602924374e-13	-3.8687419642290676e-14
11	5	1.106545167829302e-12	3.935199509363307e-12
11	6	1.181915519258768e-12	1.035145452850943e-12
11	7	-5.840023278979094e-13	-8.80891157911683e-13
11	8	1.412441743350412e-12	-2.721705912585391e-13
11	9	5.408946448617256e-13	-3.4958345890163467e-13
11	10	-5.493833042916208e-13	9.451910936394558e-13
