N	M	R_coefficient	Q_coefficient
0	0	-4.4519063703961196e-14	0.0
1	0	4.4425983596432096e-11	0.0
1	1	-8.895127150510138e-11	-3.484928979709753e-11
2	0	-1.8441367626152964e-11	0.0
2	1	4.634625892238715e-12	2.125295551494329e-11
2	2	-4.305388529871332e-12	1.3428480922816741e-11
3	0	-3.4476107074707985e-12	0.0
3	1	4.136592721473875e-12	1.8177420304417004e-12
3	2	-1.0278563802886252e-12	-1.625808622069376e-11
3	3	1.2289202481735983e-11	1.2907766437961934e-11
4	0	-4.109001632336147e-12	0.0
4	1	1.8022919331127327e-12	-6.2131954884855256e-12
4	2	-5.41819316854555e-12	2.049668547764409e-12
4	3	1.0220592934414665e-12	9.65515028465319e-12
4	4	-2.5854610830962875e-12	8.959126950143145e-12
5	0	5.77636732246567e-13	0.0
5	1	-3.0788829767974627e-12	1.4990897506906527e-12
5	2	2.583626062889492e-12	-7.729882663463058e-12
5	3	1.0256523327539536e-11	3.140903268703641e-12
5	4	7.827673585132385e-13	8.217932695855124e-13
5	5	8.072957550463227e-13	5.34510556626186e-13
6	0	1.5818478577158965e-12	0.0
6	1	9.436481094121817e-13	-4.9688921154336145e-12
6	2	-8.932370984528807e-12	2.8374573340490364e-12
6	3	-8.631044167809346e-12	2.553673651099173e-12
6	4	-4.834474658798295e-12	2.735376017851378e-12
6	5	5.168238568052345e-12	-3.672146265408997e-12
6	6	-4.5176009617585587e-13	-5.617628514936203e-13
7	0	-1.1058024920787305e-13	0.0
7	1	-1.4059201385025474e-12	3.062720890130285e-12
7	2	4.517416313884994e-12	6.532192670921494e-13
7	3	7.00215166142087e-13	4.433347595895024e-13
7	4	-7.265099212349407e-13	2.382240074433656e-12
7	5	4.233691895385419e-12	-1.2028233588953463e-12
7	6	4.988387308268547e-13	-2.1915387557848443e-12
7	7	2.1379736016284594e-12	1.819081389037506e-12
8	0	8.301233364669705e-12	0.0
8	1	-1.1015303557470532e-12	-5.122623914227253e-13
8	2	-2.7308333109552785e-12	1.8188182100772818e-12
8	3	-2.171567190899368e-12	-5.023960355671082e-12
8	4	-5.481971749038515e-12	-1.8402613467314274e-12
8	5	4.135200232878609e-12	-1.4116090836616855e-13
8	6	-8.235334971956574e-15	1.5167264192789569e-12
8	7	-2.385965395243788e-13	2.171380215112594e-12
8	8	-6.852117681468664e-13	5.892253423038221e-13
9	0	-3.3242976209376374e-12	0.0
9	1	1.2599966669946977e-12	8.729058708554395e-13
9	2	-1.4711073891362023e-12	9.97837119183609e-13
9	3	-3.902112953512189e-12	1.284271978195428e-12
9	4	7.440559707715799e-13	1.7804864905170969e-13
9	5	-4.685357514880013e-13	2.8861824558283913e-12
9	6	-4.2575335222245366e-13	2.3471889365760914e-12
9	7	-2.4198636572155092e-12	-5.371766438057752e-13
9	8	1.0813219368134496e-12	-3.227904151233271e-14
9	9	4.275902990367935e-13	-2.4550585655846573e-12
10	0	4.124332782218681e-13	0.0
10	1	-2.3644008292157417e-12	1.935084596556432e-12
10	2	4.832675021505119e-13	-1.318333828068154e-12
10	3	3.124125059027887e-13	-2.419710359177064e-12
10	4	1.7107567439702748e-13	-2.9179011980032028e-12
10	5	8.053701138385734e-14	2.2524912382916876e-13
10	6	1.8184644874868118e-12	1.993567851967283e-12
10	7	-2.42662505893999e-12	1.730753211760737e-12
10	8	-1.9600338164589794e-13	-1.6983449117607051e-12
10	9	-1.230908615333396e-12	-1.4127688421654495e-13
10	10	4.750233670102224e-13	-7.922811281759986e-13
11	0	-2.862547211316099e-12	0.0
11	1	2.2517885339822436e-12	-1.5396237204141743e-12
11	2	-5.540983245296113e-13	-2.3106520083017364e-13
11	3	5.300478648413408e-13	1.5286807761555495e-12
11	4	2.8342879670140364e-13	-1.6981590273226977e-12
11	5	-2.503755135316186e-12	7.839466947499977e-13
11	6	-5.3519010880836966e-14	2.9196803010740643e-13
11	7	9.614158834833703e-13	-1.0989189337100803e-12
11	8	2.4769756703437867e-12	-1.4602057179217703e-12
11	9	2.42278167244545e-12	2.582677922328529e-12
11	10	3.647623475027738e-13	3.711920192090042e-13
11	11	-9.936077892210436e-13	8.85765366022202e-13
12	0	2.2274054521290822e-13	0.0
12	1	1.561982107770615e-13	-5.20571567088762e-13
12	2	2.0034594443503218e-12	-1.0568610257512621e-12
12	3	1.6132909189683943e-12	1.0041122200424488e-12
12	4	-8.135959582081362e-13	1.4331470069395171e-12
12	5	-2.563786414287648e-12	5.104962599956845e-13
12	6	-8.427424217714672e-13	-6.193928117894192e-13
12	7	1.0553048702692713e-13	-1.7528888901736083e-12
12	8	3.8911110468289515e-13	-4.3414196606181435e-13
12	9	-8.192030388601723e-13	5.191683084707246e-13
12	10	-2.843040063487984e-13	-1.0035139830104022e-12
12	11	4.498728686165557e-13	3.1938001439693326e-13
12	12	-7.171332519458314e-13	-7.994560449361212e-14
13	0	2.340208946282676e-12	0.0
13	1	-5.915893369989407e-13	-8.794354339827057e-13
13	2	-3.954051294240345e-14	1.1510775727352207e-12
13	3	5.217883170961878e-13	1.5366790639665732e-12
13	4	-5.846655680684111e-13	-5.705282167635663e-13
13	5	-1.8929886140907984e-12	-5.134484239119271e-13
13	6	-1.9873444628781884e-12	-2.0142651958642954e-12
13	7	4.445359314368755e-13	-3.059318574743031e-13
13	8	7.896209579036724e-13	3.0431858374094496e-13
13	9	4.990352799279743e-13	2.5749080813744918e-12
13	10	-2.307712108843516e-12	-2.0083427004115927e-13
13	11	2.293911404050704e-13	7.36662007221396e-14
13	12	1.3450192247448903e-13	-2.3184665765496577e-13
13	13	-1.4121352736926366e-13	-1.179620163693016e-12
14	0	-2.17310379072019e-12	0.0
14	1	5.41895729463572e-13	1.825833419439071e-13
14	2	-1.3838221879804143e-13	-6.307324294492261e-14
14	3	-9.296936004464662e-13	-4.668860047644628e-13
14	4	-1.1270302005304619e-12	1.0093334492416374e-12
14	5	-1.0344197470884287e-13	-6.989299230617198e-13
14	6	-1.078104478359157e-12	-9.760825182521217e-13
14	7	5.67368370716851e-13	1.11123288519566e-12
14	8	-5.221771507297007e-13	-1.1178912445825376e-12
14	9	-2.1919672717523238e-12	1.4166291013536151e-12
14	10	1.3942313212553358e-12	-1.9103184706459654e-12
14	11	4.103707696962732e-14	-6.227153970244446e-13
14	12	1.3433863004456973e-13	1.5872060951281261e-13
14	13	2.467371606778146e-13	-7.150659057920896e-13
14	14	4.223125500250683e-13	6.322410509479397e-13
15	0	1.0985057778656373e-12	0.0
15	1	-4.546493673429153e-13	2.74774297430295e-13
15	2	-8.118235315174704e-13	8.709758296080995e-13
15	3	-5.023341581040168e-14	-1.5140725107352769e-12
15	4	-1.0468300961525836e-13	2.8265690360319443e-14
15	5	7.163171124182389e-13	3.1562335180157583e-13
15	6	-4.480332140491254e-13	-4.762778754316225e-13
15	7	-3.153380029860474e-13	5.909206067461103e-13
15	8	-1.7706220689155656e-13	7.059044523076113e-13
15	9	-1.300810269740807e-12	1.251147929156174e-12
15	10	-2.968840066417186e-13	-7.010082686990861e-15
15	11	-2.621259894801172e-13	4.1260325304977886e-13
15	12	1.158868741374962e-12	2.66452144923609e-13
15	13	-5.892544400718916e-14	-1.8931195501430005e-13
15	14	5.373476702095733e-13	6.689657090419985e-13
15	15	-1.1256770052563198e-12	7.518489700122044e-13
16	0	-2.0550528485689446e-13	0.0
16	1	7.035568950130477e-13	9.877137295023814e-13
16	2	9.912486381429119e-13	5.425961860205454e-14
16	3	-8.258402267775751e-13	3.594966748750218e-13
16	4	-3.591426269976794e-13	-2.2755664121782065e-14
16	5	8.538324578776319e-13	-2.1328263825016525e-13
16	6	-1.2568741018555512e-13	9.558806408225529e-14
16	7	-8.983369049667632e-13	1.7464427778286125e-12
16	8	-1.046667201602769e-12	-5.900955747002834e-13
16	9	8.938808418664655e-14	-1.632942109914253e-13
16	10	1.3685507371968123e-12	-1.7109521400689767e-12
16	11	1.5342016803294048e-12	7.761009686305466e-13
16	12	-3.0000969366321775e-13	3.4860429163764406e-13
16	13	-8.025765176390345e-13	5.899458504145295e-13
16	14	-2.851391666587286e-13	-1.050380512378423e-12
16	15	-1.5599170890119033e-13	1.1375123395150811e-13
16	16	-1.3751497490192248e-13	-7.746537918320904e-13
17	0	3.919652816902626e-13	0.0
17	1	2.577734470695381e-13	1.513672928906988e-13
17	2	2.86624382106936e-13	-5.2412300913705284e-14
17	3	-4.0644990765918557e-13	-7.620542548761356e-13
17	4	5.103489569747638e-13	-1.6187832542807727e-14
17	5	4.625181468794213e-13	1.4323105071431116e-12
17	6	9.491400397666813e-14	6.356263744481848e-13
17	7	-1.3648024301292662e-12	-7.559507201773047e-13
17	8	-5.690004180238416e-13	-7.909420477338428e-13
17	9	-3.6862785569397407e-13	-1.7041453676391262e-12
17	10	5.819955314628486e-13	3.153591724651516e-13
17	11	6.118667254283007e-13	7.415588202142277e-13
17	12	-1.161837880663689e-13	2.0713353902983656e-13
17	13	2.4326363114952345e-13	3.369242637320544e-13
17	14	7.336496349839228e-13	-4.2599533734950335e-13
17	15	-3.129796283528652e-13	1.1214999330314704e-13
17	16	-4.383368073840692e-15	-5.1683182813587714e-14
17	17	8.22434745731619e-13	-2.7405714235416413e-13
18	0	-4.663144853059117e-13	0.0
18	1	3.148107607933836e-13	5.062827272002153e-14
18	2	-2.071890997532134e-13	-2.282976659822561e-13
18	3	-3.0931306000429166e-13	2.0185291638012392e-13
18	4	6.297229625691737e-13	-2.6916307050698014e-14
18	5	-5.948205466055048e-13	-1.0242874495980506e-12
18	6	4.214700487065999e-13	3.1401973097107575e-13
18	7	-9.113350106773325e-13	2.4438410578390166e-13
18	8	-7.329063925070791e-13	-1.4189710733887584e-13
18	9	2.608419466433444e-13	1.2095688107983254e-13
18	10	-2.836503311562197e-13	-1.0122034092292515e-13
18	11	-4.048400834929642e-13	5.351639302537143e-13
18	12	-7.496480494039534e-13	-3.194982755501336e-13
18	13	-3.929720064421915e-13	-5.317247377864512e-13
18	14	2.3607311137118794e-14	-4.4024409841667073e-13
18	15	1.0969104364350941e-13	3.4929591864162097e-14
18	16	-5.224107462990385e-13	6.545869192165874e-13
18	17	-4.718791240922281e-14	-1.511909932311752e-14
18	18	-6.693441329092235e-13	3.358837917680932e-13
19	0	-2.1162553988708962e-13	0.0
19	1	1.0956752115329738e-13	-8.184312115200072e-13
19	2	-2.1225025000007164e-13	-1.163115489662024e-12
19	3	4.1805754782538093e-13	1.8630383650704096e-13
19	4	-1.6707536646619223e-13	3.3173309024681646e-13
19	5	8.917107831084786e-13	4.0842366419462043e-13
19	6	-3.3884687418934894e-13	-7.515237682715466e-14
19	7	1.9375651910834996e-13	-5.621154703446006e-14
19	8	-5.567333035171597e-13	-6.161431170034639e-13
19	9	1.2050881866391383e-13	-1.6437923294938005e-13
19	10	-2.562046372225765e-13	-1.1269269615540933e-13
19	11	-8.074279222089496e-13	8.604788177457133e-13
19	12	-2.7684316423613984e-13	-2.1653490550497e-13
19	13	-1.3579704575144215e-13	-3.8944313710519064e-13
19	14	9.29906278776102e-13	5.370828713402363e-13
19	15	1.9104491682920235e-13	6.4235454423906e-13
19	16	-4.719222099393213e-14	3.403261646011304e-14
19	17	-2.076125198941897e-14	1.2245840990984616e-13
19	18	3.373898174429795e-13	1.124591015391664e-13
19	19	-5.471692614478825e-13	-3.6288972323718984e-13
20	0	2.396593544916438e-13	0.0
20	1	3.0783653973056553e-13	-5.401202706540762e-13
20	2	-1.3415720171461178e-13	2.91999971226853e-13
20	3	9.740187865632194e-13	4.0548955208415124e-13
20	4	2.8883239160605156e-13	3.644794114624002e-13
20	5	-1.1848774576039566e-12	-4.597495553592625e-13
20	6	-3.211146472269092e-14	-2.7366561689445196e-13
20	7	1.2965891045706546e-13	-1.0992540553855716e-13
20	8	6.388606396403347e-13	1.9987059209268195e-13
20	9	-2.7359412480619054e-13	9.690736639789126e-13
20	10	-8.230711681951609e-13	-1.669339022225718e-13
20	11	-9.507133791900111e-13	-1.711947130548447e-13
20	12	-5.6720291022377e-13	-7.84926776465305e-13
20	13	2.1425817479278562e-13	-7.026882399773385e-13
20	14	1.4690845661264453e-13	2.5399076361929477e-13
20	15	-2.305298910450592e-13	-3.589160032991617e-13
20	16	-3.652615582725466e-13	4.943617118666483e-13
20	17	1.3684638085423636e-13	1.5060613939093106e-13
20	18	3.286257075469607e-13	6.580418685810902e-14
20	19	-2.2424073757947516e-13	2.31681151796379e-13
20	20	1.5273036266372757e-13	-4.533236248044387e-15
21	0	1.3619887236408036e-14	0.0
21	1	-3.719573841516434e-13	2.4120655851191422e-14
21	2	-1.578983759736196e-14	-3.551984256893339e-13
21	3	-1.5829480548905197e-13	5.977222418214444e-13
21	4	-4.631894591792137e-13	4.3372334179922156e-13
21	5	6.2140075869135216e-15	-2.080264306662283e-13
21	6	-8.632243298396861e-13	2.2495553404490327e-14
21	7	2.3828996614584577e-13	-2.252453541125169e-14
21	8	-1.6303238434712307e-13	2.3061614429139443e-13
21	9	-6.479678455086537e-13	7.841067642921178e-14
21	10	-4.5095843746370355e-13	-4.741441645602038e-13
21	11	4.066290125346088e-14	-2.904465131188794e-13
21	12	2.7270314890452054e-13	1.640722091605144e-13
21	13	5.31734188619339e-13	1.2425120711586566e-13
21	14	-4.670316465429954e-13	1.4635687529722733e-12
21	15	-3.9463730213449093e-13	5.785811469456445e-13
21	16	-4.789933611111977e-14	-1.0588185991346886e-13
21	17	3.1635859581611206e-13	-4.0348128008502576e-13
21	18	3.8208616892372383e-13	-4.669065677215495e-14
21	19	1.6102727773385183e-13	7.959226092624341e-14
21	20	-2.4645576085079615e-13	-8.935530753366815e-14
21	21	-2.51059966812523e-14	5.883457811558144e-13
22	0	-7.575060942418518e-14	0.0
22	1	-2.88154335041874e-13	4.263712469998798e-13
22	2	-7.352784253497702e-14	5.130953229147361e-13
22	3	9.672603159593948e-14	6.372171037270017e-14
22	4	4.0433111555754413e-13	-4.863114420452309e-13
22	5	-5.163193330283423e-13	1.3703453520902824e-13
22	6	3.6764422533213957e-13	7.88752068045619e-14
22	7	3.6001248211362136e-13	-2.5896496588915514e-13
22	8	7.147271663115533e-13	-3.8345970151773407e-14
22	9	-3.552521316340605e-13	4.801276585837383e-13
22	10	-3.188463438395618e-14	-1.196900946258208e-13
22	11	-7.556024299097975e-13	-4.934384704206526e-13
22	12	9.26504902439502e-13	-4.926492931938503e-13
22	13	1.5702508236777042e-13	-1.454491653947999e-13
22	14	-4.2713542856473506e-14	8.624538607417016e-13
22	15	-5.085777908534657e-13	-3.4430969022855405e-13
22	16	5.99885197680203e-13	6.945070456817079e-14
22	17	-1.8825663495990126e-13	3.490913660440706e-14
22	18	2.6367164032214917e-13	4.217125830294888e-13
22	19	4.453963523706697e-15	-6.968859452944559e-13
22	20	-2.9772945067084675e-15	1.2432575805337353e-13
22	21	2.869578558372713e-13	-1.575626296365521e-14
22	22	6.04220777757412e-14	2.3830268348825587e-14
23	0	-3.160519986299537e-13	0.0
23	1	-3.735170485884989e-13	5.622969847174499e-13
23	2	5.590659726312764e-13	7.116376118330526e-14
23	3	-6.265296821817136e-13	-2.3441808870739454e-13
23	4	1.1470602385445875e-14	-4.65330869403304e-13
23	5	7.638743795926645e-14	-4.943433223848959e-13
23	6	2.0759708984551875e-13	2.6937045453651783e-13
23	7	5.627422196546516e-13	1.5394903125149037e-13
23	8	-2.0372485840612123e-13	1.9579567537011093e-13
23	9	-4.670493986894886e-13	4.1925642638198846e-13
23	10	5.920909720595512e-14	-1.197895816952094e-13
23	11	-1.6599242257767715e-13	-3.815204485390897e-13
23	12	3.3907337103509744e-14	-4.715033551849777e-14
23	13	-4.777709396194154e-13	-5.89372396997802e-14
23	14	-7.245614536419285e-13	2.6086851509021656e-13
23	15	-8.939934823372681e-14	-4.5241130239601036e-13
23	16	5.894362394666953e-13	-9.38479757013533e-14
23	17	7.064624645127297e-14	3.957808189979147e-14
23	18	5.246167626324633e-13	1.9264569417417756e-13
23	19	-5.893573755900741e-13	-4.7348478252478427e-14
23	20	-1.4463436597832813e-13	1.790679251914028e-15
23	21	-3.1271428243424277e-13	1.0044146148232821e-13
23	22	-2.0780903580439299e-13	1.7550888177709152e-13
23	23	1.6198489166319134e-13	-3.12884354841965e-13
24	0	-2.591779279895839e-14	0.0
