LON	LAT	VALUE
170.5	-72.5	-0.9460624739394731
171.5	-72.5	-1.1577697748298548
172.5	-72.5	-1.4215349860191548
173.5	-72.5	-1.6795814609770743
174.5	-72.5	-1.883163153112095
175.5	-72.5	-2.02567604585798
176.5	-72.5	-2.145471476639971
177.5	-72.5	-2.296201933246827
178.5	-72.5	-2.508611424221765
179.5	-72.5	-2.773450714250969
180.5	-72.5	-3.0562690500375957
181.5	-72.5	-3.327927762041133
182.5	-72.5	-3.5828106646756805
183.5	-72.5	-3.8295047741730333
184.5	-72.5	-4.064559536398742
185.5	-72.5	-4.256041865473709
186.5	-72.5	-4.355567176055198
187.5	-72.5	-4.331811367169217
188.5	-72.5	-4.197616160427663
189.5	-72.5	-4.0059623167266265
190.5	-72.5	-3.815989429106766
191.5	-72.5	-3.6567070176266427
192.5	-72.5	-3.5187304833311153
193.5	-72.5	-3.3792647955855135
194.5	-72.5	-3.2345764537513504
195.5	-72.5	-3.1066931766847152
196.5	-72.5	-3.016131291312425
197.5	-72.5	-2.947933093557001
198.5	-72.5	-2.8494392073507564
199.5	-72.5	-2.6708594109785446
200.5	-72.5	-2.416722466098725
201.5	-72.5	-2.158950398280933
202.5	-72.5	-1.9912586963382712
203.5	-72.5	-1.9572191682735849
204.5	-72.5	-2.0125950352098583
205.5	-72.5	-2.0573438377814286
206.5	-72.5	-2.0133056781293894
207.5	-72.5	-1.8827058649115345
208.5	-72.5	-1.738318164067301
209.5	-72.5	-1.6557425848421268
210.5	-72.5	-1.6485450873272467
211.5	-72.5	-1.662765829788223
212.5	-72.5	-1.6329095769152653
213.5	-72.5	-1.5467303019433813
214.5	-72.5	-1.4600260925129667
215.5	-72.5	-1.4491510006054735
216.5	-72.5	-1.544542754317719
217.5	-72.5	-1.703430968865417
218.5	-72.5	-1.8429405174515765
219.5	-72.5	-1.901655649183514
220.5	-72.5	-1.87621552182803
221.5	-72.5	-1.8063354927810686
222.5	-72.5	-1.7294286426180019
223.5	-72.5	-1.650608641448309
224.5	-72.5	-1.55479241192878
225.5	-72.5	-1.4448551815102328
226.5	-72.5	-1.3637166296223724
227.5	-72.5	-1.3727245938544432
228.5	-72.5	-1.5004474900024378
229.5	-72.5	-1.7071303289497424
230.5	-72.5	-1.901688672063061
231.5	-72.5	-2.005365404789163
232.5	-72.5	-2.014302580426827
233.5	-72.5	-2.008446189903507
234.5	-72.5	-2.09327463490531
235.5	-72.5	-2.314593829914122
236.5	-72.5	-2.6120369830397183
237.5	-72.5	-2.8513347967316762
238.5	-72.5	-2.9160498415283067
239.5	-72.5	-2.791687589553298
240.5	-72.5	-2.577660776695956
241.5	-72.5	-2.416011946608049
242.5	-72.5	-2.3897653884301326
243.5	-72.5	-2.467616880261255
244.5	-72.5	-2.535231253912028
245.5	-72.5	-2.4850875374387993
246.5	-72.5	-2.291964087462788
247.5	-72.5	-2.016699898469048
248.5	-72.5	-1.7433248359046358
249.5	-72.5	-1.510284547962885
250.5	-72.5	-1.2970544004610405
251.5	-72.5	-1.0729980054367079
252.5	-72.5	-0.8555292898083112
253.5	-72.5	-0.7150706239805967
254.5	-72.5	-0.715404476074194
255.5	-72.5	-0.8433833441940961
256.5	-72.5	-0.9991905558618164
257.5	-72.5	-1.0672549911225002
264.5	-72.5	-1.8849085464979858
265.5	-72.5	-2.0060417181641097
266.5	-72.5	-2.141408817107678
267.5	-72.5	-2.377232860746373
268.5	-72.5	-2.695680552319313
269.5	-72.5	-2.981872215492006
270.5	-72.5	-3.1267893573713335
271.5	-72.5	-3.134155130797539
272.5	-72.5	-3.13023386891587
