N	M	R_coefficient	Q_coefficient
0	0	-3.9774456001001805e-10	0.0
1	0	-8.040496277832195e-11	0.0
1	1	-9.031310492729606e-11	1.884916427886437e-10
2	0	-3.7971836709224114e-11	0.0
2	1	2.329227222754991e-11	1.0814436097134221e-12
2	2	3.483464982404072e-11	2.190280834660679e-11
3	0	-6.809158758030856e-11	0.0
3	1	-7.641609663627645e-12	-4.3443548268771725e-11
3	2	-1.5207721918204415e-12	-3.606354354570671e-11
3	3	8.805673367886147e-11	-3.230487674793871e-11
4	0	4.593567806368872e-12	0.0
4	1	-4.458177092141531e-11	-1.3565313039070124e-11
4	2	6.849943843249114e-13	-5.032811795782822e-11
4	3	3.0932263738021993e-12	-2.9551871894126845e-11
4	4	6.110714908395811e-11	-3.864669847616095e-11
5	0	7.290083205488576e-11	0.0
5	1	1.2355391719852733e-11	-9.908501723654518e-12
5	2	2.4326848806788925e-11	-5.169102188724102e-12
5	3	-1.0957883772878158e-11	-2.0978144999858194e-11
5	4	9.121591638056965e-12	4.0235744455516815e-11
5	5	4.550695577088636e-12	-2.0966172106820906e-11
6	0	2.425500231944573e-11	0.0
6	1	4.261074561966738e-11	-1.581654232331302e-11
6	2	1.942677064408475e-11	5.4406220216489894e-12
6	3	2.4441421966170764e-11	-1.5384516987899165e-11
6	4	-1.3477147444111351e-11	9.20965763381126e-12
6	5	-2.5020960613168944e-12	3.3739265911638215e-11
6	6	-1.885775722010974e-11	-6.163752217123504e-12
7	0	-2.597905367209112e-11	0.0
7	1	2.6814623008847087e-12	3.1047327230855448e-12
7	2	-4.350871151169095e-12	-1.152462135141245e-11
7	3	1.9571396791761916e-11	5.913464179147525e-12
7	4	-1.3420429550239522e-12	-1.983013602758067e-11
7	5	8.587753063893716e-13	1.810095058904258e-11
7	6	9.497306253225478e-12	-1.993188772607263e-12
7	7	7.275586078746463e-13	8.002810599480547e-12
8	0	1.4221431481930064e-13	0.0
8	1	-1.8567386953280507e-11	1.6894783831110348e-11
8	2	-1.9739631654803512e-11	-2.279464190491431e-12
8	3	2.1404680050130483e-12	1.1588888739922016e-11
8	4	-1.0309702076982035e-12	7.775641688809331e-12
8	5	-9.960744832354799e-12	-1.1294591273297335e-11
8	6	-4.797424175982423e-13	3.808667025939573e-12
8	7	3.9233983015197245e-12	-1.2417332455929288e-11
8	8	7.134194572196512e-12	1.4132576000766838e-11
9	0	2.147138782571153e-11	0.0
9	1	3.0994687475321563e-12	6.150844140153858e-12
9	2	-1.2638376147422243e-11	1.0475541346647247e-11
9	3	2.4290249556714808e-12	-9.695288222290731e-12
9	4	7.254619947489705e-12	1.6803418357418757e-11
9	5	-6.321297026315279e-12	9.03599514455228e-14
9	6	-1.1636854540245861e-12	3.7771584689975945e-12
9	7	7.0283452136305795e-12	-8.671613913034034e-12
9	8	-6.698994493582983e-12	-1.2768321101310556e-11
9	9	2.1023354378158956e-12	-3.353411629185082e-13
10	0	2.178066172980133e-12	0.0
10	1	1.48585629066217e-11	-6.740610933629683e-12
10	2	5.1761012289206e-12	5.039356409950248e-12
10	3	1.50713120970889e-12	-1.4940149744159665e-11
10	4	2.1944850221721898e-11	-2.689809816616575e-12
10	5	5.9928334236023386e-12	9.265353652759407e-12
10	6	2.933488041005904e-12	9.999952358477239e-12
10	7	-1.2771997566333417e-13	8.746574391919367e-12
10	8	1.1684545068688185e-12	3.561798523764017e-12
10	9	-8.609384160703148e-12	-3.645249560810597e-12
10	10	4.041262457307349e-12	-5.495152620668484e-12
11	0	-8.920656155753115e-12	0.0
11	1	-1.7840783199419758e-12	-1.330058244163545e-12
11	2	9.205259589136312e-12	1.8319986170027846e-12
11	3	-5.317151529313657e-12	1.2423841011040508e-12
11	4	1.0089221487890745e-11	-9.585842983174458e-12
11	5	3.066575611023839e-12	-1.878160686734063e-12
11	6	-1.1389172054144191e-12	8.934854282731715e-12
11	7	-2.444951962423381e-12	5.78566321436239e-12
11	8	-1.6715089399865691e-12	1.9720459223549995e-12
11	9	-6.278179374720813e-12	-6.680463509745954e-13
11	10	-3.4595037304694467e-12	-5.482966112720935e-12
11	11	-4.5474234823678363e-13	-1.3877488646360285e-12
12	0	-1.8443340514083816e-12	0.0
12	1	-1.273476295219242e-11	7.256284873380641e-12
12	2	-4.36686045924642e-13	4.100831999171611e-12
12	3	-4.1985680578837304e-12	7.324886858141319e-12
12	4	-7.116470604644536e-12	2.3941100148677486e-12
12	5	-4.7589266262211915e-12	-2.561254236281293e-12
12	6	-5.7874277525427985e-12	-4.882986392999071e-13
12	7	-8.215879899130491e-13	2.060875607681304e-12
12	8	-5.004808796351527e-12	-4.3081799316543064e-12
12	9	-3.25334483071571e-13	6.3150073678944126e-12
12	10	4.40428785015809e-12	-3.804770681751252e-12
12	11	4.267905426376782e-12	-5.682112057189525e-12
12	12	-5.331340959622229e-12	-4.453613831243645e-12
13	0	-1.1647441986770481e-12	0.0
13	1	-2.7174694545734895e-12	1.998467413016521e-12
13	2	-7.2354821289788456e-12	2.309309744924693e-12
13	3	1.6990420589327672e-12	1.223534749972443e-12
13	4	-3.671165502899301e-12	6.756105878928033e-12
13	5	-1.8687226033454997e-12	8.613481189061436e-12
13	6	-9.339009678209567e-12	1.129527036288724e-12
13	7	2.6897173057030947e-13	4.811221229957729e-12
13	8	-2.544479213343199e-12	-3.7608701015035526e-12
13	9	-5.330283969246506e-12	3.240942576845872e-13
13	10	8.416787603847513e-14	4.392497903259553e-12
13	11	2.006950534673015e-12	1.2577113204579545e-12
13	12	-4.217513369203389e-12	-2.330578907521885e-12
13	13	-5.002070679956687e-12	-6.8317392851164146e-12
14	0	-5.724248592757522e-12	0.0
14	1	4.582217191003953e-12	-3.907200109377848e-12
14	2	-4.2957739832451585e-12	1.8292699045461423e-14
14	3	-2.951069077507805e-13	-5.768392536267167e-13
14	4	4.888738615747758e-13	-4.2077108613832574e-12
14	5	3.8187330649988476e-12	7.08401529755088e-12
14	6	-4.909555016490637e-12	3.809235338512367e-12
14	7	1.528072143705504e-12	3.888342395520137e-12
14	8	3.6691267560248656e-12	-2.3315111906589926e-12
14	9	-5.319644568483378e-12	-2.3865462927639775e-12
14	10	-1.3158096969150815e-12	2.813897058107855e-12
14	11	5.980730630297647e-12	5.282156578469086e-13
14	12	-3.2385243900466887e-12	3.2083679370005287e-12
14	13	-7.05024718245517e-12	-6.654946574654649e-12
14	14	-4.043580011995593e-12	-4.765263422726979e-12
15	0	-3.972934762699818e-12	0.0
15	1	-1.3028052245369796e-13	-8.569453862069751e-13
15	2	4.0844466492282786e-12	-1.1539776626376732e-12
15	3	-4.613295421122634e-12	3.117243018435631e-12
15	4	-2.9504575326146573e-12	-7.920091565984787e-12
15	5	1.420516560350582e-12	-2.5899754831103912e-12
15	6	4.1958126501609064e-12	-2.1081254327765822e-12
15	7	-2.509248830064962e-12	1.3701187983298122e-12
15	8	8.589506755387782e-12	-1.0591613480388215e-12
15	9	-1.2687177761551103e-12	-6.551540798495203e-13
15	10	-1.6181877649725962e-12	1.0627768319846714e-13
15	11	-1.1369285285241186e-12	-1.3530774409618998e-12
15	12	3.2575324363216493e-12	2.2924659317458076e-12
15	13	-1.9908674275026577e-12	3.0010051992009613e-12
15	14	2.4219571030034034e-12	-4.160825559376378e-12
15	15	-2.470913418927194e-12	-1.3401578282149548e-12
16	0	1.317266151871301e-12	0.0
16	1	-3.7997965026314195e-12	1.742199818612274e-12
16	2	8.303608014153107e-12	-2.707442955556218e-12
16	3	-1.5457515103261673e-12	4.055547407813571e-12
16	4	-1.5170823323456451e-12	-5.624318011763022e-13
16	5	-3.844749103460025e-12	-2.027188927150694e-12
16	6	5.574878097644246e-12	-4.700020186784987e-12
16	7	-4.511841714971357e-12	1.7810143597609243e-12
16	8	1.6650913602810312e-12	5.006979483553694e-14
16	9	-2.9657378658040823e-12	-2.7197209894758584e-12
16	10	-1.7037730365692264e-12	1.9671611511950144e-12
16	11	-1.5084225739454193e-12	-3.1534661177635854e-12
16	12	1.1263782722729577e-12	-2.7725194554721698e-12
16	13	3.0662062549436105e-13	-2.499003083005335e-13
16	14	3.6447239927917895e-12	-1.4923532503745335e-13
16	15	2.8370122357681107e-12	7.082682733833516e-13
16	16	-1.6633838644177354e-12	-7.198933107198279e-13
17	0	3.5272476585164405e-12	0.0
17	1	-2.4287812808078584e-12	6.467025992302782e-13
17	2	3.937478274142532e-12	-2.768507156202844e-12
17	3	2.911423511545681e-12	1.3335473445120387e-12
17	4	1.243350019416869e-12	1.2696671707405097e-12
17	5	-3.04546240731588e-12	3.2285061441295797e-12
17	6	3.190082769619254e-13	-2.2118419554387355e-12
17	7	6.871110701586563e-13	1.758281803326666e-12
17	8	-3.25700704295323e-12	1.1568213235088043e-12
17	9	-4.943297825943365e-12	-8.863622232870769e-13
17	10	-3.5204784484932007e-12	1.0398413156266078e-13
17	11	4.753138432887319e-13	-4.195949233574168e-13
17	12	-2.11671483414828e-12	-4.030523984989006e-12
17	13	1.674490402521732e-12	2.184949912431184e-12
17	14	6.894384338370499e-13	9.570652218460198e-13
17	15	2.2283352957559062e-12	4.1567832382835273e-13
17	16	-2.6312166312475678e-12	-2.5919847606716384e-12
17	17	1.9212812668784825e-13	-3.966589533580899e-12
18	0	2.013732030704148e-12	0.0
18	1	9.217637165695705e-13	9.77023929940915e-14
18	2	-2.653285758149825e-12	-2.1612001488956693e-12
18	3	2.2898493214435777e-12	-2.4800361998486743e-13
18	4	-2.702765685966678e-13	-1.6125623703297105e-12
18	5	1.0484884151517385e-12	2.1439687513130756e-12
18	6	-2.7480461088893396e-12	-1.1398942756671064e-12
18	7	1.2716122091716687e-12	5.314068207279027e-13
18	8	1.054213899770438e-12	-3.492543413986427e-14
18	9	-1.2567819256603657e-12	6.148287541228322e-13
18	10	-3.0120623401731752e-12	-1.5127340525839776e-12
18	11	4.07332876292955e-14	3.450456734075616e-12
18	12	-2.1410484781112784e-14	-2.5978845282312732e-12
18	13	-2.721812455234606e-13	-6.726800363124967e-13
18	14	1.0211745206645812e-12	1.0794246342045679e-12
18	15	7.310524916586978e-13	4.331107755315103e-12
18	16	-5.4161449683697185e-12	-9.595965235419428e-13
18	17	-2.2241686854435444e-12	-5.192144850048802e-12
18	18	2.1658681697159195e-12	-2.8682700459979838e-12
19	0	-7.737612776470631e-13	0.0
19	1	3.2992679027749756e-12	7.906736838354896e-13
19	2	-3.682926109662858e-12	-1.1565810052867913e-12
19	3	-7.837265685189933e-13	-1.0597187996298314e-12
19	4	-1.2057247010894344e-12	-5.573599239199369e-13
19	5	1.689268957140998e-12	-1.5938510554636183e-12
19	6	-9.958226614554508e-13	-1.1173919346435156e-12
19	7	-2.5387862103246254e-12	1.2409208193521755e-13
19	8	1.5448210743505157e-12	-1.6378069848533885e-12
19	9	1.4280028597237504e-12	-2.3340201369936046e-12
19	10	1.391957942981132e-13	-7.539671139325274e-13
19	11	9.319198202761676e-13	-8.504919402575977e-14
19	12	1.2747789140765817e-12	1.0276420335254699e-12
19	13	-1.786839143410411e-12	-1.9039238313539204e-12
19	14	-2.003225863815123e-13	2.1193790379965386e-12
19	15	2.1486999897255584e-12	-7.582861791040169e-13
19	16	2.3324220845502596e-13	6.317085952977756e-12
19	17	-4.930488709129641e-12	-2.2411833812364623e-12
19	18	7.263653260707206e-13	-1.2757538968172054e-12
19	19	2.7090403497945258e-14	1.1712617279265258e-12
20	0	-2.292318979504283e-12	0.0
20	1	1.59916823681148e-12	7.57315835527813e-13
20	2	-5.954881986112529e-14	1.1916682655138535e-12
20	3	-2.232325911145297e-12	-2.1987807722131914e-12
20	4	-4.3886437982712945e-13	1.949089906109033e-12
20	5	-2.896102853266308e-14	-2.512713251992889e-12
20	6	8.265092879829465e-13	-9.552093252737874e-13
20	7	-1.87563203439848e-12	-3.0215442266937476e-13
20	8	-7.6403256885124e-13	-4.86384257122436e-13
20	9	-5.019052954139872e-13	-3.5063448643229297e-12
20	10	1.7023943856467526e-12	-7.603108973985429e-13
20	11	-1.7146344748258887e-12	-2.418897238948e-12
20	12	1.448596482797297e-12	3.778195166039567e-13
20	13	1.188991436195892e-12	-1.908004223029333e-12
20	14	-1.9412848094714146e-12	4.4496509589938946e-13
20	15	-4.749790293919685e-13	-1.974333517547749e-12
20	16	9.037667119920601e-13	-5.665776832758705e-13
20	17	5.098888245598822e-13	1.4459247346736128e-12
20	18	5.956536281174422e-13	1.6668106375525666e-13
20	19	1.0758846696287592e-12	2.5351368555434145e-12
20	20	-8.3523129614008e-13	2.0486582877593543e-12
21	0	-9.92836045277915e-13	0.0
21	1	-9.188454014557436e-13	-8.691452147839338e-13
21	2	1.3362030952590822e-12	2.0901626898171425e-12
21	3	-6.208972824798405e-13	-1.2111769539050871e-12
21	4	4.715343558478347e-13	2.1640355714120552e-12
21	5	-8.961437856678363e-13	-1.0811835009943963e-12
21	6	6.15962415992468e-13	-7.322160912735204e-13
21	7	-7.917344269432865e-13	-1.113105381186968e-12
21	8	1.7460548316557519e-12	2.972137227997797e-13
21	9	-1.5947188046739966e-12	-1.0871213076664457e-12
21	10	2.15592704406301e-12	-7.620376318677107e-13
21	11	-2.6863754822923055e-12	-2.141552775533555e-14
21	12	1.9213297812077614e-13	-3.458609022996062e-13
21	13	9.681756297975657e-13	-1.1710874017941337e-12
21	14	-3.1698478683241775e-13	5.962958145625403e-13
21	15	-4.570773480302926e-13	1.608983792587058e-12
21	16	1.5236784484440356e-12	-3.620567418381905e-12
21	17	-4.900705852846459e-13	9.091995669902653e-13
21	18	2.6244253912874384e-12	-2.0252672334936597e-12
21	19	2.717072162221715e-12	3.0328305839946594e-12
21	20	-3.974035510278331e-13	1.882282959928241e-12
21	21	-1.467400780850109e-13	1.759733379123213e-12
22	0	1.029280865559623e-12	0.0
22	1	-4.2792011169724724e-13	-1.291904978940724e-12
22	2	-4.75508207848726e-13	6.018164253598764e-13
22	3	7.787087748336609e-13	-1.0146106002656568e-13
22	4	1.821599711312601e-12	1.1506127537765408e-12
22	5	-4.887527591303829e-13	1.6036710159098146e-13
22	6	9.493720031697248e-13	4.2797113045588333e-13
22	7	-1.837153413377509e-12	-7.238086476958996e-13
22	8	3.787623326587564e-12	-4.67712751444222e-13
22	9	2.807600284407541e-13	6.728244522643644e-13
22	10	1.1498901004420254e-12	1.2918824409202908e-12
22	11	-6.763411304492641e-13	7.783367488592541e-13
22	12	-1.6504530828246636e-12	4.1069475278755707e-13
22	13	9.635064264755111e-14	4.1406910429172095e-13
22	14	2.0247606429542565e-13	5.920703042903582e-13
22	15	-8.36150845282308e-13	2.5074604883930535e-12
22	16	7.989445551368162e-14	-1.3370549583107665e-12
22	17	-3.99410654531397e-13	-5.2533538336217786e-14
22	18	-2.5501273092258067e-13	1.347388957795892e-13
22	19	-1.015283757386961e-12	-6.756848126794839e-13
22	20	-1.9060085566576697e-13	2.0005006137879087e-12
22	21	-1.0638306141242243e-12	-1.8205504466353236e-13
22	22	-9.997628645679675e-13	6.463922212700506e-13
23	0	8.813105244177185e-13	0.0
23	1	6.101353924506014e-13	6.192423706192425e-13
23	2	-5.12457353966921e-13	-2.1198533409770405e-13
23	3	-8.568080290481687e-13	-8.764784700051555e-13
23	4	1.968775278497014e-12	3.4672276249903836e-13
23	5	8.096229376484367e-13	-9.707563866390166e-13
23	6	1.054582327005512e-12	1.627559777759681e-12
23	7	-7.988502406321607e-13	8.009638570557473e-13
