N	M	R_coefficient	Q_coefficient
0	0	-4.936461530528692e-10	0.0
1	0	-1.0810830141846762e-10	0.0
1	1	-5.581433509562014e-11	1.2034560576427202e-10
2	0	-3.4718602291087195e-11	0.0
2	1	4.5478388137596804e-12	5.260209906613614e-12
2	2	2.643279504105059e-11	4.582613559429075e-11
3	0	-5.342147232331819e-11	0.0
3	1	-9.954384299976202e-12	-3.8220826787228884e-11
3	2	1.1343166770663796e-11	-3.259261692036824e-11
3	3	5.449240608044648e-11	-1.512252939010811e-11
4	0	1.688857128134987e-11	0.0
4	1	-3.1013555688423916e-11	-1.0265966010683627e-11
4	2	4.044929397305412e-12	-4.6939783611460975e-11
4	3	-3.1614602407689417e-12	-1.792670538639239e-11
4	4	5.2444977563474625e-11	-1.8346697389990465e-11
5	0	7.000725977986827e-11	0.0
5	1	1.0557991471538021e-11	5.914001424005248e-12
5	2	2.201007444010037e-11	-4.652541680101057e-13
5	3	-1.7897611863121922e-11	-3.1532664401380707e-11
5	4	-1.2105801181506213e-11	2.008678569535424e-11
5	5	-2.381829214152065e-13	-6.96710079659881e-12
6	0	1.357555633415828e-11	0.0
6	1	3.790433245570366e-11	-7.957237356946967e-12
6	2	1.899796553210962e-11	3.262769448366171e-12
6	3	1.663220877303788e-11	-2.1999921347419558e-11
6	4	-9.916143713358432e-12	-6.462630179361557e-13
6	5	-5.822390712073192e-12	2.843718507283243e-11
6	6	-1.7694570848553952e-11	-3.756002190789514e-12
7	0	-2.9279843494028704e-11	0.0
7	1	2.5380998654587655e-12	6.747076628427393e-13
7	2	-7.440611275978998e-12	-1.052057767154004e-11
7	3	1.1639532284073931e-11	5.912715116581762e-12
7	4	5.687277550396743e-12	-2.5297724738221135e-11
7	5	9.380462101208453e-13	8.58038879107219e-12
7	6	-1.7884756155496065e-12	1.537389991649254e-11
7	7	-7.854976480866672e-12	8.351041267194972e-12
8	0	-8.169829540516199e-13	0.0
8	1	-1.783355852058581e-11	1.4222841512848622e-11
8	2	-1.6406072758766396e-11	7.838716683041534e-13
8	3	-6.712172118826568e-12	9.457802632370335e-12
8	4	-7.954280111346184e-12	4.98465090528074e-12
8	5	-1.1750394310048644e-12	-1.5465202394300838e-11
8	6	7.583870428395664e-12	-2.132879511669019e-12
8	7	4.709780756512934e-12	-7.296570003766065e-12
8	8	-5.7609312304853635e-12	8.658437526762128e-12
9	0	1.4087579984246685e-11	0.0
9	1	4.5083007359088536e-12	3.6059797477098743e-12
9	2	-3.5731736775823213e-12	5.885133291127517e-12
9	3	1.6343625882653981e-12	-3.353345179177484e-12
9	4	-6.129920854299076e-13	1.8119725275544765e-11
9	5	-3.9813600000124484e-12	3.139675938018256e-12
9	6	6.741918924765607e-13	-3.314183671114754e-12
9	7	9.467396402013238e-12	-4.700290877348727e-12
9	8	1.5894693244459448e-12	-1.1537301351249237e-11
9	9	-2.733772464670431e-12	4.029657956898117e-12
10	0	-1.5153571034649567e-12	0.0
10	1	9.799262311895731e-12	-4.7317186530229045e-12
10	2	7.805849172934521e-12	-1.9500024671866557e-12
10	3	3.9514025844506316e-12	-3.373295177664125e-12
10	4	1.7311021442873105e-11	-6.26771114770474e-12
10	5	1.07507851345574e-12	8.554969904990245e-12
10	6	3.0797507585978677e-12	7.920859940389105e-12
10	7	6.0131336354784775e-12	4.60856082334603e-12
10	8	3.9557969435938714e-13	-9.43139174705437e-13
10	9	-8.147442714074198e-12	-8.472984085088363e-12
10	10	1.9251688511069624e-12	4.5083098239838184e-12
11	0	-2.2245829529808886e-12	0.0
11	1	-7.321734204694145e-12	3.2535097771232223e-13
11	2	7.8251443608612e-12	-1.724252408587449e-12
11	3	-4.260559396875971e-12	4.2728875124211345e-12
11	4	5.101224477761821e-12	-9.404424349017504e-12
11	5	6.165094874389442e-12	-9.318781132003772e-12
11	6	1.549064697042571e-12	3.337666362554049e-12
11	7	4.1712410357734056e-12	2.041220553274648e-12
11	8	1.4394155393038808e-12	6.131196875660102e-12
11	9	-2.367791847622496e-12	3.6060269623864444e-12
11	10	-2.983333960862094e-12	-5.693142844754362e-12
11	11	3.3557012988104685e-12	2.9603842776269992e-12
12	0	5.207183510425261e-12	0.0
12	1	-7.678981296079601e-12	2.4099920702470016e-13
12	2	4.901987799340236e-13	9.992013199128158e-13
12	3	-7.09603573725963e-14	4.748422680990961e-12
12	4	-1.0428980544459571e-11	7.097765266375369e-12
12	5	2.5161548760692056e-12	-7.371831888128487e-12
12	6	-5.13140977016408e-12	-4.227414966375061e-12
12	7	2.2354367826558407e-12	3.1091574830655104e-12
12	8	-2.6190468079509913e-12	-3.678168555266207e-12
12	9	-3.4560923494249106e-12	7.2233302914980925e-12
12	10	3.3110894786826633e-12	3.396348155157949e-12
12	11	5.150112693505091e-13	9.895212350588646e-14
12	12	7.543169639089906e-13	-2.691147388871022e-12
13	0	1.5072784274348317e-12	0.0
13	1	2.0666152872758563e-12	-3.932324119714473e-12
