N	M	R_coefficient	Q_coefficient
0	0	-5.049333093716487e-10	0.0
1	0	-1.048223162200896e-10	0.0
1	1	-5.922529678572035e-11	8.826729055219601e-11
2	0	-3.4660237269162427e-11	0.0
2	1	1.4084934902230093e-12	-5.092067309937959e-12
2	2	2.5358273289322328e-11	1.984565517777795e-11
3	0	-5.873462444339898e-11	0.0
3	1	-8.708690003148504e-12	-3.313464826485051e-11
3	2	-5.247290756243435e-12	-4.1575222143447434e-11
3	3	5.915978284078716e-11	-4.0130169161231494e-11
4	0	5.539143291407148e-12	0.0
4	1	-2.241352027035418e-11	-1.4246460331571834e-11
4	2	-4.406827355083673e-12	-4.3211977284289546e-11
4	3	3.3167356066884307e-12	-7.96253742230065e-12
4	4	5.700672768033106e-11	-3.5457314110094534e-11
5	0	6.058555397202245e-11	0.0
5	1	9.985728765223567e-12	2.4963089424936196e-12
5	2	1.792433849811897e-11	-8.954834096916108e-12
5	3	-1.5003605471705043e-11	-1.1917019412087678e-11
5	4	7.746578607372115e-12	2.7885655620665724e-11
5	5	-5.190135421884851e-12	-1.1005964001306846e-11
6	0	2.136652727015769e-11	0.0
6	1	3.186469579273586e-11	1.5688460284977817e-12
6	2	1.9683537561404318e-11	-1.0838723448986453e-12
6	3	4.154263904782252e-12	-1.7489914420930204e-11
6	4	-5.040142740307968e-12	1.1202193621351963e-11
6	5	6.803916201290303e-12	1.593609203200608e-11
6	6	-2.0442380734142168e-11	-3.01896294510384e-12
7	0	-1.562470202877865e-11	0.0
7	1	1.1072142266866516e-11	-4.651783118008546e-12
7	2	2.3461747040799223e-12	-1.7241147260216003e-12
7	3	1.4308389521113251e-11	4.516489430609338e-12
7	4	-4.292789173411567e-12	-1.3308409024907363e-11
7	5	-1.975387146048682e-12	5.3659917961825765e-12
7	6	-1.9768029621161106e-12	-3.0041688932895036e-12
7	7	4.282611918170705e-12	1.4219167371460692e-11
8	0	-1.5422384197693923e-12	0.0
8	1	-8.841786929399617e-12	-3.0381614847155365e-12
8	2	-1.2990409983837378e-11	2.0541987308446287e-12
8	3	9.880609938233096e-12	5.559996068330458e-12
8	4	-7.901299243988762e-12	4.310177250585346e-12
8	5	-4.1869874546364805e-12	-1.020672812614727e-11
