N	M	R_coefficient	Q_coefficient
0	0	-7.766554883241229e-10	0.0
1	0	-2.143953020321471e-10	0.0
1	1	-7.329305063985507e-11	4.852211306677958e-11
2	0	-6.300302642312761e-11	0.0
2	1	-1.0433655389138771e-11	-1.2968367158925307e-11
2	2	2.67962374581311e-11	4.387760363547395e-11
3	0	-7.554401969090723e-11	0.0
3	1	-1.589517487507907e-11	-5.648837997355061e-11
3	2	2.1761332972940067e-11	-4.09243971742061e-11
3	3	4.957274560298103e-11	-1.904846047034745e-11
4	0	1.1172439036179135e-13	0.0
4	1	-3.265241946433713e-11	-3.7813671447558274e-11
4	2	1.1738924694896646e-11	-6.620882230551037e-11
4	3	1.0703914466641228e-11	-1.2999542898259655e-11
4	4	6.0220397450583e-11	-2.789785427193681e-11
5	0	7.536396968071958e-11	0.0
5	1	4.063593363077821e-12	-7.941456649838607e-12
5	2	2.998542499042228e-11	-1.0603515885302889e-11
5	3	-1.5190589737062272e-11	-3.299699113885027e-11
5	4	-5.652526840712896e-12	2.1254596008939727e-11
5	5	-4.969305751908316e-12	-1.994143497167686e-11
6	0	3.612943141634547e-11	0.0
6	1	3.497757132732301e-11	-1.073695622874281e-11
6	2	3.7822791198991066e-11	8.278972476213091e-12
6	3	8.47795152314523e-12	-2.797984402014756e-11
6	4	-6.707663550896494e-12	1.593548327598653e-11
6	5	-1.1296670272393343e-11	1.9602537201479987e-11
6	6	-2.6956046066442677e-11	-1.8336747592251742e-11
7	0	-1.067407091679815e-11	0.0
7	1	6.585361921556648e-12	-5.6347764821332424e-12
7	2	1.3034226353915961e-11	-5.765459015465409e-12
7	3	1.1266155641811407e-11	8.776314174531066e-13
7	4	1.4882722110723116e-11	-1.5894874038645337e-11
7	5	4.511931432209247e-15	1.6852744022553066e-11
7	6	-1.1929480082637702e-11	1.081509909984772e-11
7	7	-1.0130079477378895e-11	3.4462934886351336e-12
8	0	9.71597965008646e-12	0.0
8	1	-1.541100864638499e-11	8.026007020282329e-12
8	2	-7.443282745968426e-12	3.118153230585005e-12
