LON	LAT	VALUE
289.5	-54.5	-2.531939587251307
290.5	-54.5	-2.025734826380683
291.5	-54.5	-1.7953872401203586
292.5	-54.5	-1.4447358801751258
293.5	-54.5	-0.6921178856374085
287.5	-53.5	-2.7769065472084584
288.5	-53.5	-3.0124095274973155
290.5	-53.5	-2.0202237130968985
291.5	-53.5	-1.3816722861020299
286.5	-52.5	-1.447394472014601
287.5	-52.5	-2.3628966508142173
288.5	-52.5	-2.6391549368879277
289.5	-52.5	-2.2067705014118757
290.5	-52.5	-1.3528176418478122
286.5	-51.5	-1.226207730096188
287.5	-51.5	-2.0009436312896747
288.5	-51.5	-2.197268087229168
289.5	-51.5	-1.6580012570034421
290.5	-51.5	-0.6308140859689738
285.5	-50.5	-0.3140208702892837
286.5	-50.5	-1.0349432006882906
287.5	-50.5	-1.71998802618443
288.5	-50.5	-1.9540020629522088
289.5	-50.5	-1.4960629209123095
290.5	-50.5	-0.4877875474269938
285.5	-49.5	-0.23078396705827792
286.5	-49.5	-0.733589206916913
287.5	-49.5	-1.3938346527118384
288.5	-49.5	-1.8832801250038882
289.5	-49.5	-1.7886463252218854
290.5	-49.5	-0.9997729480078964
291.5	-49.5	0.10153941546727963
285.5	-48.5	0.058778014807110035
286.5	-48.5	-0.03427377079244865
287.5	-48.5	-0.6462066594268577
288.5	-48.5	-1.526791490620766
289.5	-48.5	-1.9897770013643807
290.5	-48.5	-1.5457711734127564
291.5	-48.5	-0.40652095024239204
292.5	-48.5	0.6877306794704698
286.5	-47.5	1.2147605125946614
287.5	-47.5	0.7817967694863883
288.5	-47.5	-0.4324937859365482
289.5	-47.5	-1.443457426777843
290.5	-47.5	-1.3575406606838043
291.5	-47.5	-0.225657613555969
292.5	-47.5	1.058302850251711
293.5	-47.5	1.6537953116454291
168.5	-46.5	0.20984834063960855
169.5	-46.5	0.2839335886411941
285.5	-46.5	1.4873864328391397
286.5	-46.5	2.662091839182592
287.5	-46.5	2.5672990552190424
288.5	-46.5	1.240081229181385
289.5	-46.5	-0.12541849990535894
290.5	-46.5	-0.3169833641342682
291.5	-46.5	0.7206595226348955
292.5	-46.5	1.9274739806369332
167.5	-45.5	-0.14996837652555003
168.5	-45.5	-0.05242102580145486
169.5	-45.5	0.05610084912542352
170.5	-45.5	0.011002822760990176
286.5	-45.5	3.578327990154007
287.5	-45.5	3.9212174018715324
288.5	-45.5	2.725713959718995
289.5	-45.5	1.220121848669341
290.5	-45.5	0.8246770918708551
291.5	-45.5	1.7019682362482058
292.5	-45.5	2.6749201474782818
168.5	-44.5	-0.11463054004461252
169.5	-44.5	0.007903966208442635
170.5	-44.5	-0.18082656221565852
287.5	-44.5	4.414118741196565
288.5	-44.5	3.4936090645002644
289.5	-44.5	1.8732980551028662
290.5	-44.5	1.16171684689112
291.5	-44.5	1.8026594608268394
292.5	-44.5	2.6503774136383127
293.5	-44.5	2.3378046324235977
294.5	-44.5	0.8370653536032273
146.5	-43.5	-0.328339400343123
170.5	-43.5	-0.12150619543431311
171.5	-43.5	-0.6115077596339712
172.5	-43.5	-0.3347987110284997
287.5	-43.5	4.661750672940903
288.5	-43.5	4.07538844043872
289.5	-43.5	2.0986990534387675
290.5	-43.5	0.6329325351107155
291.5	-43.5	0.786256221586954
292.5	-43.5	1.7231448045287052
293.5	-43.5	1.755737812832432
294.5	-43.5	0.3723409183782654
145.5	-42.5	-1.3225659521205502
146.5	-42.5	-0.9297459072757995
147.5	-42.5	-0.139161974237616
171.5	-42.5	-0.6516348925179721
172.5	-42.5	-0.6262042080725521
173.5	-42.5	0.642754016439405
287.5	-42.5	5.845106112894321
288.5	-42.5	5.736096049892137
289.5	-42.5	3.0865897223594594
290.5	-42.5	0.19916560022535088
291.5	-42.5	-0.6837935606354872
292.5	-42.5	0.3090589207236671
293.5	-42.5	1.1058001691224284
294.5	-42.5	0.2712873655018741
145.5	-41.5	-2.469084265060818
146.5	-41.5	-1.789216058525424
147.5	-41.5	-0.5267628419474852
172.5	-41.5	-0.6500633616837634
173.5	-41.5	0.17366764820889566
286.5	-41.5	4.418196815308852
287.5	-41.5	8.264559470866118
288.5	-41.5	9.01352527626865
289.5	-41.5	5.681209118279901
290.5	-41.5	0.8776941034169364
291.5	-41.5	-1.7218465755143764
292.5	-41.5	-1.1275935172953662
293.5	-41.5	0.3616234410474948
294.5	-41.5	0.22847797094747532
175.5	-40.5	1.1377178743282814
176.5	-40.5	0.96913939053505
286.5	-40.5	5.129299950997021
287.5	-40.5	10.539317190426349
288.5	-40.5	12.674043156589153
289.5	-40.5	9.193690334413224
290.5	-40.5	2.615054083033076
291.5	-40.5	-2.0666704437549623
292.5	-40.5	-2.5034393535474404
293.5	-40.5	-0.8341062706674575
294.5	-40.5	-0.3733215440120344
295.5	-40.5	-1.6814009704462598
296.5	-40.5	-2.7434434897059945
297.5	-40.5	-2.202783064675611
174.5	-39.5	0.4166111139997124
175.5	-39.5	0.3307255803840124
176.5	-39.5	0.08152235562210897
287.5	-39.5	10.707707100668722
288.5	-39.5	14.517507579086042
289.5	-39.5	11.748236212405613
290.5	-39.5	4.264661638339475
291.5	-39.5	-2.1767989892522004
292.5	-39.5	-3.9775935058454466
293.5	-39.5	-2.699133469849599
294.5	-39.5	-1.86627914371606
295.5	-39.5	-2.381500948073414
296.5	-39.5	-2.386319183855733
297.5	-39.5	-0.7734639170675627
143.5	-38.5	-2.43300382040624
145.5	-38.5	-3.835695814601739
146.5	-38.5	-4.599282970213244
175.5	-38.5	0.09981435525773198
176.5	-38.5	-0.10042914135428711
177.5	-38.5	-0.13328935572234293
287.5	-38.5	8.286866181359892
288.5	-38.5	13.41527317349479
289.5	-38.5	11.946671142524137
290.5	-38.5	4.713581515295254
291.5	-38.5	-2.5462977272985974
292.5	-38.5	-5.4700647873626105
293.5	-38.5	-4.860077758688133
294.5	-38.5	-3.9032880849448457
295.5	-38.5	-3.541823513589384
296.5	-38.5	-2.2749611925412276
297.5	-38.5	0.379452225490283
298.5	-38.5	2.4733339870930027
299.5	-38.5	2.1910347006290847
300.5	-38.5	0.2938929655124463
301.5	-38.5	-1.0278531507382793
140.5	-37.5	-2.436562609648349
141.5	-37.5	-2.3148196855581187
142.5	-37.5	-1.7637753729154084
143.5	-37.5	-1.431630696218465
144.5	-37.5	-1.749211311592364
145.5	-37.5	-2.6516957443593427
146.5	-37.5	-3.742390220606235
147.5	-37.5	-4.5324666284662785
148.5	-37.5	-4.567162843059031
149.5	-37.5	-3.625807883421059
175.5	-37.5	0.0889285956495971
286.5	-37.5	-0.9231091735351195
287.5	-37.5	4.889720585224032
288.5	-37.5	10.32673250851517
289.5	-37.5	10.040141325232812
290.5	-37.5	3.876189443612974
291.5	-37.5	-3.1190641671391495
292.5	-37.5	-6.51496482971048
293.5	-37.5	-6.506532582496856
294.5	-37.5	-5.679937661523554
295.5	-37.5	-4.86063062515318
296.5	-37.5	-3.043775560880729
297.5	-37.5	-0.4509311200938479
298.5	-37.5	0.7794221986934028
299.5	-37.5	-0.5243143754068725
300.5	-37.5	-2.6883841133678876
301.5	-37.5	-3.276023185617674
302.5	-37.5	-2.059503040483157
140.5	-36.5	-1.993657760578223
141.5	-36.5	-1.638288728011259
142.5	-36.5	-1.3446116204251937
143.5	-36.5	-1.2730685418961345
144.5	-36.5	-1.3508612139182317
145.5	-36.5	-1.6300401384780296
146.5	-36.5	-2.4078307751051784
147.5	-36.5	-3.7406855440286364
148.5	-36.5	-4.942116772123141
149.5	-36.5	-4.943562084430722
287.5	-36.5	2.5065960925466984
288.5	-36.5	7.113695315669392
289.5	-36.5	7.36206484059279
290.5	-36.5	2.5089741651362854
291.5	-36.5	-3.4633030819585042
292.5	-36.5	-6.689438708980736
293.5	-36.5	-7.076288580274136
294.5	-36.5	-6.590336027784154
295.5	-36.5	-5.906811729197668
296.5	-36.5	-4.547428068555191
297.5	-36.5	-3.268732008395662
298.5	-36.5	-3.909218553211888
299.5	-36.5	-6.513592841664183
300.5	-36.5	-8.463181597430776
301.5	-36.5	-7.51800539390216
302.5	-36.5	-4.610807711690897
139.5	-35.5	-1.6156367832339604
140.5	-35.5	-1.0562349757392533
141.5	-35.5	-0.8484132883003507
142.5	-35.5	-1.2300468032058192
143.5	-35.5	-1.7205850402372
144.5	-35.5	-1.6872908456048228
145.5	-35.5	-1.2660067153243033
146.5	-35.5	-1.4127085020273693
147.5	-35.5	-2.806225204592171
148.5	-35.5	-4.783390359337245
149.5	-35.5	-5.682181376688112
173.5	-35.5	0.006676530746422437
288.5	-35.5	4.670389795493049
289.5	-35.5	4.904523581032794
290.5	-35.5	1.291388953080734
291.5	-35.5	-3.351389006247404
292.5	-35.5	-6.0833825566071
293.5	-35.5	-6.743089725562638
294.5	-35.5	-6.695072858746356
295.5	-35.5	-6.42746098224953
296.5	-35.5	-5.899868596713385
297.5	-35.5	-6.171450395461703
298.5	-35.5	-8.537299703338688
299.5	-35.5	-11.974812907769634
300.5	-35.5	-13.326139100144855
301.5	-35.5	-10.897362263774289
302.5	-35.5	-6.6870281259331295
19.5	-34.5	2.7791090661653386
20.5	-34.5	2.4325983847453863
116.5	-34.5	-1.2069256272874247
117.5	-34.5	-3.1516446171937424
118.5	-34.5	-3.290212569286211
135.5	-34.5	-1.4935587154854881
138.5	-34.5	-1.842990324728826
139.5	-34.5	-1.011535463595271
140.5	-34.5	-0.2204517994129385
141.5	-34.5	-0.24824073870087848
142.5	-34.5	-1.142578821122774
143.5	-34.5	-2.007268054723972
144.5	-34.5	-1.9632343609463234
145.5	-34.5	-1.222313844803601
146.5	-34.5	-0.9917218353109224
147.5	-34.5	-2.2087551799014644
148.5	-34.5	-4.379970088186006
149.5	-34.5	-5.791963991924374
150.5	-34.5	-5.07017753445917
288.5	-34.5	2.660972389337378
289.5	-34.5	2.820497660301534
290.5	-34.5	0.3804550748567823
291.5	-34.5	-2.957118896305082
292.5	-34.5	-5.215381947030286
293.5	-34.5	-6.169177763440871
294.5	-34.5	-6.550569030859431
295.5	-34.5	-6.60296472378102
296.5	-34.5	-6.567132152997993
297.5	-34.5	-7.608043314587261
298.5	-34.5	-10.561421582458868
299.5	-34.5	-13.908787082481924
300.5	-34.5	-14.636025260633414
301.5	-34.5	-11.671370067928633
303.5	-34.5	-4.666043355393353
304.5	-34.5	-4.114991244206221
305.5	-34.5	-3.8795239266439854
18.5	-33.5	1.151976626190065
19.5	-33.5	0.6650276289306973
20.5	-33.5	0.09688641048709021
21.5	-33.5	0.014747382596353035
22.5	-33.5	0.43048863754426975
23.5	-33.5	1.2024259547362341
24.5	-33.5	2.621679391065749
25.5	-33.5	5.070176410916125
26.5	-33.5	8.107645600103188
115.5	-33.5	-0.5249009181612775
116.5	-33.5	-2.5540985208971163
117.5	-33.5	-3.7046580690822735
118.5	-33.5	-3.0045644147589847
119.5	-33.5	-1.6386613850913074
120.5	-33.5	-1.3820919245440695
121.5	-33.5	-2.4204535841455845
122.5	-33.5	-3.43540682857638
123.5	-33.5	-3.422751673961969
135.5	-33.5	-1.2178917424345181
136.5	-33.5	-1.8870898143540393
138.5	-33.5	-1.9087954681930144
139.5	-33.5	-1.1189343271861794
140.5	-33.5	-0.4383761415868152
141.5	-33.5	-0.5326902418539142
142.5	-33.5	-1.2634539297714773
143.5	-33.5	-1.7902485353134945
144.5	-33.5	-1.5679794173729693
145.5	-33.5	-0.9833227684122027
146.5	-33.5	-0.9552036057733435
147.5	-33.5	-2.0502877395087644
148.5	-33.5	-3.9067372102336484
149.5	-33.5	-5.329673084270018
150.5	-33.5	-5.118952008223496
288.5	-33.5	0.8339626173348182
289.5	-33.5	1.1232862503049206
290.5	-33.5	-0.24670506733977296
291.5	-33.5	-2.541082225863967
292.5	-33.5	-4.543871427738697
293.5	-33.5	-5.853063814065543
294.5	-33.5	-6.611282461849098
295.5	-33.5	-6.878543098777519
296.5	-33.5	-7.055751488591947
297.5	-33.5	-8.209923764599816
298.5	-33.5	-10.840961252707386
299.5	-33.5	-13.542167443584749
300.5	-33.5	-14.019215700644228
301.5	-33.5	-11.652614815217083
302.5	-33.5	-8.180259224991682
303.5	-33.5	-5.553710593864855
