N	M	R_coefficient	Q_coefficient
0	0	-6.766910050741212e-10	0.0
1	0	-1.4209705109104629e-10	0.0
1	1	-8.341905890911875e-11	4.94679516816259e-11
2	0	-3.0233034534542124e-11	0.0
2	1	4.337522152240114e-12	-1.0507684755463713e-11
2	2	2.2082759957939074e-11	2.7140870782177248e-11
3	0	-5.41459796576703e-11	0.0
3	1	3.3984407140516125e-12	-2.6062217090712912e-11
3	2	1.671615008130055e-11	-3.170702432052053e-11
3	3	3.687903565963244e-11	-3.129568849369476e-11
4	0	2.8847138594570945e-12	0.0
4	1	-2.8772992017801796e-11	-1.354495435262494e-11
4	2	2.122229289273728e-11	-3.4549235963565826e-11
4	3	-9.257081660666548e-12	-4.356464083326689e-12
4	4	4.7093068226480045e-11	-4.2469899814704625e-11
5	0	6.193453753826708e-11	0.0
5	1	-5.619716086497535e-12	-3.7186060112477186e-12
5	2	2.2346059463036645e-11	-1.199854912436895e-11
5	3	-1.2934187061137476e-11	-1.1349391233320532e-11
5	4	-9.345410842487243e-12	2.0926909644949245e-11
5	5	6.328953070742811e-12	-2.2731703336597908e-11
6	0	2.7566301433387984e-11	0.0
6	1	2.859659103250751e-11	-2.802807803365006e-12
6	2	1.3909515724119685e-11	-7.271028360295207e-12
6	3	3.28843676954625e-12	-2.102144258701759e-11
6	4	-1.2808703122473922e-11	1.38832095288556e-11
6	5	2.932059244950081e-12	2.2430138897936604e-11
6	6	-1.1410067590756027e-11	-9.407421437046656e-12
7	0	-1.717700560754994e-11	0.0
7	1	9.492228330210093e-12	-1.353630932789742e-12
7	2	2.249158944971675e-12	-5.171932282946297e-12
7	3	2.694980957312069e-12	-2.9631544431713927e-12
7	4	3.5687375671899487e-13	-1.9822389716212186e-11
7	5	-5.250052513738569e-12	1.4983180760585807e-11
7	6	1.4509197214762424e-12	7.695483668779223e-12
7	7	2.887466980933135e-13	6.917432291937349e-12
8	0	-2.846156993681931e-12	0.0
8	1	-1.5546422919883687e-11	7.248713379183927e-13
8	2	-4.5483426009115145e-12	-9.482883837948816e-14
8	3	-1.1107551350387166e-12	8.85719055868039e-12
8	4	-2.7479031411450774e-12	-4.2946415265534464e-12
8	5	1.4341004378606186e-12	-1.4456781754551705e-11
8	6	4.944264639705586e-13	6.3744212724922826e-12
8	7	2.7357999273095655e-12	-1.2407617492534815e-11
8	8	9.068595092125825e-12	1.229632549589212e-11
9	0	1.8880324083346987e-11	0.0
9	1	-1.8741992116587527e-12	-3.7502823358910724e-13
9	2	-9.850721460520343e-13	3.577230829704174e-12
9	3	1.0341216258956152e-12	-1.747195919465699e-12
9	4	1.7815156429668942e-12	1.7985621258738518e-11
9	5	2.6887770252389482e-12	-1.0680561438189638e-11
9	6	1.0854007324470624e-12	-2.992222419123396e-12
9	7	1.1761040540814149e-12	-9.235098544937674e-13
9	8	-3.4107216643478047e-12	-8.536324799876726e-12
9	9	1.0860782781191244e-11	8.193925602113287e-12
10	0	7.667282066734554e-12	0.0
10	1	1.1307613571222927e-11	1.2964976609864906e-12
10	2	6.8451134585233345e-12	3.9701662503165275e-12
10	3	-8.83423602351052e-13	-4.519153724159153e-12
10	4	7.910564527405697e-12	1.4333835304395223e-12
10	5	-2.578756092900472e-13	3.63264252490415e-12
10	6	1.3200671337375894e-12	-1.534319879194785e-12
10	7	4.11590824689642e-12	6.373500664017682e-13
10	8	-5.9722474404309185e-12	-2.797046797360688e-12
10	9	-9.93013088200768e-12	-3.077124089645671e-12
10	10	8.505281728155923e-12	1.0313322512668165e-12
11	0	-7.478381515317657e-12	0.0
11	1	-2.1875687011348045e-13	6.32678370079253e-12
11	2	6.440412422414939e-12	-2.7358602184038753e-13
11	3	-3.37670506966749e-12	5.954749777823391e-12
11	4	1.6906077255838262e-12	-1.3731973657824488e-11
