N	M	R_coefficient	Q_coefficient
0	0	-5.294321130379912e-10	0.0
1	0	-8.635505138201508e-11	0.0
1	1	-1.1414579273348889e-10	8.523331781831474e-11
2	0	-1.871531957961425e-11	0.0
2	1	3.0233857433394283e-12	-5.493677844021287e-12
2	2	6.9630094824632015e-12	2.1169343717444776e-11
3	0	-6.047924635084087e-11	0.0
3	1	-2.0697380608198715e-12	-4.2179470147879784e-11
3	2	2.1734778762546635e-12	-2.6553585044016002e-11
3	3	5.4197141565265305e-11	-3.7593962641848414e-11
4	0	-5.03601716939602e-12	0.0
4	1	-3.9986537012090195e-11	-2.390901823029842e-11
4	2	3.531761273256954e-12	-3.81953525048748e-11
4	3	-6.60334069477371e-13	-6.018579680283204e-12
4	4	5.877538482663178e-11	-3.814757095259205e-11
5	0	6.329911543902645e-11	0.0
5	1	-7.261928677584819e-12	-5.712327258620009e-12
5	2	1.3762210473186793e-11	-5.341304894393806e-12
5	3	-1.685264690323134e-11	-1.277270364063954e-11
5	4	-6.525313078242663e-12	2.870362316776987e-11
5	5	7.851651232910037e-12	-2.3546578729519722e-11
6	0	2.3793305940362266e-11	0.0
6	1	3.1058010061225746e-11	-1.0764547635408507e-11
6	2	1.3663602329508112e-11	-1.9697804471008754e-13
6	3	1.4166456861657065e-11	-2.1369747761082124e-11
6	4	-1.7271035334133177e-11	1.223290235468484e-11
6	5	-1.120937572169906e-12	2.4955319420511962e-11
6	6	-8.751332154667878e-12	-1.1142117918113245e-11
7	0	-2.276873557713053e-11	0.0
7	1	8.191539271380507e-12	-3.091151415501877e-12
7	2	-1.4163847110006493e-12	-1.3090786283840576e-11
7	3	1.6572114007885448e-11	1.5139659669134583e-12
7	4	4.179672992963876e-12	-2.3782421564265435e-11
7	5	-5.083858343733153e-12	1.6406701364928134e-11
7	6	5.501578141892525e-13	9.107621513444377e-12
7	7	-2.90286152863023e-13	1.4320536092372223e-11
8	0	1.2795155578294744e-12	0.0
8	1	-1.5861946373475927e-11	1.327145235379594e-11
8	2	-8.71248245761751e-12	-3.0696046235544256e-12
8	3	-2.3814336297579154e-12	9.624095250679253e-12
8	4	-1.4830386369544208e-13	-2.6092765540000592e-12
8	5	-8.283052372237423e-12	-1.5068614804425815e-11
8	6	4.753665876567698e-12	3.497718570027108e-12
8	7	-3.632353969705994e-12	-8.347228378773342e-12
8	8	2.6483138215318985e-12	1.6860358333620088e-11
9	0	1.904011860537381e-11	0.0
9	1	1.3485464995842809e-12	8.372886593979684e-12
9	2	-9.821624335293611e-13	5.585850833670561e-12
9	3	-4.327454424396054e-13	-5.480690135012402e-12
