N	M	R_coefficient	Q_coefficient
0	0	-5.533243996755436e-10	0.0
1	0	-1.5130411158543086e-10	0.0
1	1	-8.883852241004858e-11	1.3508303253501934e-10
2	0	-4.502921963818968e-11	0.0
2	1	6.874671112074968e-12	-9.17512424823706e-12
2	2	3.436296721012091e-11	2.663719116549491e-11
3	0	-5.155168893090057e-11	0.0
3	1	-1.2194523246195377e-11	-3.150624404581371e-11
3	2	6.689369962034914e-12	-3.211189102831393e-11
3	3	6.267046286004051e-11	-2.2177063211751605e-11
4	0	1.1533400503164684e-11	0.0
4	1	-3.06513206045587e-11	-8.732787071999489e-12
4	2	1.375780167476055e-11	-4.344785190891922e-11
4	3	-1.2587121880096562e-11	-2.855735093410428e-11
4	4	4.5262715823274075e-11	-2.5657194533053605e-11
5	0	6.608261988511173e-11	0.0
5	1	1.3987268567453408e-11	-1.1874633325360888e-11
5	2	3.379374704122737e-11	1.5203594497445776e-12
5	3	-1.2468613125432898e-11	-2.8070937241132746e-11
5	4	-2.0449319363254328e-12	2.7463147321073656e-11
5	5	-2.1658077331128824e-12	-1.1261042055365328e-11
6	0	2.376385821163032e-11	0.0
6	1	3.014893694741172e-11	-1.143934081026295e-11
6	2	2.3803043685487443e-11	9.827142811378684e-12
6	3	1.2369199952841175e-11	-1.9322974454824124e-11
6	4	-1.8106137744513063e-11	-6.505707547358732e-13
6	5	-1.8256079216348277e-13	2.930330242975286e-11
6	6	-2.1961914288856744e-11	-1.7544488523459315e-12
7	0	-1.9752224276160594e-11	0.0
7	1	1.4343980708307283e-12	2.9140208715648965e-12
7	2	-1.3924397713635148e-12	-9.683363936494912e-12
7	3	6.715272987569452e-12	5.415424647958132e-12
7	4	-5.609145534755644e-12	-2.245138064878952e-11
7	5	2.20705278574183e-12	9.598393839736419e-12
7	6	7.009050697568567e-12	-3.3939486746491443e-12
7	7	-8.088726590952204e-12	1.2154315630354703e-11
8	0	2.5138108566266294e-13	0.0
8	1	-8.85141971908332e-12	8.591788174205831e-12
8	2	-1.1589688454215747e-11	-2.3310708000583055e-12
8	3	1.7282783741916491e-12	1.000210238652911e-11
8	4	-7.403734705572931e-12	2.4790072921767516e-12
8	5	-5.453050660090318e-12	-7.871329024315833e-12
8	6	6.269173614456979e-12	-6.31135191751468e-13
8	7	4.773294490479086e-12	-1.2171029916637988e-11
8	8	-1.842243996597227e-12	1.5827771719167537e-11
9	0	1.4802687218411338e-11	0.0
9	1	3.507096341986096e-12	2.5227342761671415e-12
9	2	-7.527261106254455e-13	1.0579410669665219e-11
9	3	2.6278528294709536e-12	-9.45262422390174e-12
9	4	1.1677663001726966e-12	1.2019232054857835e-11
9	5	-5.784219741071438e-12	1.807042433455279e-12
9	6	2.929263554933307e-12	-1.5663933055306122e-12
9	7	8.185306197024981e-12	-7.331708538028347e-12
9	8	-6.730965452156597e-12	-4.5200725765491405e-12
9	9	-3.422294329689585e-12	1.5095588558991537e-12
10	0	-1.3035228002051017e-12	0.0
10	1	4.492411836280258e-12	-5.593674876385942e-12
10	2	9.615582485249238e-12	4.319956323575314e-12
10	3	-9.32771707302509e-13	-9.031698003457363e-12
10	4	1.6909671751041045e-11	-5.534462002471457e-12
10	5	2.947209389142755e-13	3.5449178584882065e-12
10	6	1.378872054920321e-12	5.124504463050165e-12
10	7	1.659925018140388e-12	9.890846277079847e-13
10	8	3.1834642479853773e-12	4.061142895523687e-12
10	9	-1.2059200706431222e-11	-1.3747233801945145e-12
10	10	-3.2062603338170184e-13	-8.498148519910698e-12
11	0	-5.329205096526508e-12	0.0
11	1	-6.793701663890113e-12	-2.6636082918411283e-12
