N	M	R_coefficient	Q_coefficient
0	0	-7.134380531362814e-10	0.0
1	0	-1.7615160780476168e-10	0.0
1	1	-8.659662468351486e-11	1.6018087175626732e-10
2	0	-4.834894576668774e-11	0.0
2	1	1.1462711387493745e-11	1.3510369338179953e-11
2	2	5.4366212782213723e-11	3.156366694664175e-11
3	0	-6.552961049849926e-11	0.0
3	1	-1.0283493327488229e-11	-2.8258385159404114e-11
3	2	2.8399516209249652e-11	-4.584730390565719e-11
3	3	7.426788849282802e-11	-3.0672368924073324e-11
4	0	1.033511329865628e-11	0.0
4	1	-3.4722869480239084e-11	-1.302053083355229e-11
4	2	1.9858973904547528e-11	-6.086368554900884e-11
4	3	2.2719604013064354e-12	-3.041672342666422e-11
4	4	5.932200069837344e-11	-3.298796794205016e-11
5	0	7.731627358082005e-11	0.0
5	1	1.9125647350287367e-11	-1.113088191377084e-11
5	2	3.7894946015667114e-11	-4.1712877277404554e-12
5	3	-1.507653371204413e-11	-3.401920199345025e-11
5	4	-7.819330573644879e-12	3.5992727572411466e-11
5	5	6.136311406081039e-12	-1.5196054519302967e-11
6	0	2.5353333169001394e-11	0.0
6	1	4.504181415778926e-11	-1.8504350531558764e-11
6	2	3.8423809692072314e-11	1.2450924814704221e-11
6	3	1.3785370363571605e-11	-2.2981515446417702e-11
6	4	-2.2905454242484653e-11	1.0345272739464692e-11
6	5	-3.252389313912689e-12	3.061558064595282e-11
6	6	-1.8089570501722726e-11	-8.717405024823872e-12
7	0	-2.2999544898627194e-11	0.0
7	1	5.032289760369383e-12	-7.724091258568724e-12
7	2	1.268562158559638e-11	-2.4265362345251476e-12
7	3	1.3398701156664543e-11	1.0098934851787962e-11
7	4	-6.5778253283138275e-12	-1.6672389005858915e-11
7	5	1.621930180804575e-13	1.271030363523183e-11
7	6	5.083592331161256e-12	2.3127481246353922e-12
7	7	-3.827515033429517e-12	7.33078832692129e-12
8	0	2.31327627853867e-12	0.0
8	1	-1.6058553198091735e-11	4.795007736198182e-12
8	2	-1.0177558296510805e-11	5.256806767031471e-12
8	3	1.0539112283069134e-12	1.6005164464789366e-11
8	4	-1.4196384043885295e-11	9.381871976766e-12
8	5	-4.568464951239241e-12	-1.456605234555906e-11
8	6	6.784723475893019e-12	-1.9549918872494432e-12
8	7	3.1207364354070827e-12	-1.1429586226207166e-11
8	8	3.827170342807697e-13	1.513406348481369e-11
9	0	1.6672468133103444e-11	0.0
9	1	1.6529905191314968e-12	3.5359003659762044e-12
9	2	-7.908842587699573e-12	1.3931590576329525e-11
9	3	-1.6944028197913509e-12	-4.241830450604411e-12
9	4	-6.760667569926596e-12	1.761046911361598e-11
9	5	-5.696025230068427e-12	-4.0434751925582374e-12
9	6	4.909370658135178e-12	-3.696870215878035e-12
9	7	1.0804084722826526e-11	-6.64472016335049e-12
9	8	-2.4605180296176426e-12	-7.171563952504586e-12
9	9	-1.946519658966994e-12	3.5796645603935615e-12
10	0	-4.638902916297789e-13	0.0
10	1	6.765035043740135e-12	-1.0840724371487088e-12
10	2	6.500698481412107e-12	7.822323662494074e-12
10	3	-6.7968702181729525e-12	-3.1098001981054656e-12
10	4	1.2086705771428161e-11	-1.642437413952807e-12
10	5	-1.0742581313087915e-12	4.159743392052993e-13
10	6	4.327529739288869e-12	7.121694136443971e-12
10	7	2.1018034333527545e-12	5.375722422820246e-12
10	8	2.8252336641154407e-12	4.526894399888665e-12
10	9	-1.0019226597472084e-11	-3.5836067902567556e-12
10	10	4.4292101374200444e-13	-5.0767390794867245e-12
11	0	-3.191711430646295e-12	0.0
11	1	-7.730602810965682e-12	2.080736389123089e-12
11	2	7.958538866946608e-12	1.7764817564322596e-12
11	3	-8.679421364808597e-12	1.0235492776165375e-11
11	4	2.7760365976635177e-12	-4.7426931865946675e-12
11	5	5.719445571838907e-13	-8.265742693888136e-12
11	6	3.1822072410521523e-12	4.860426551695812e-12
11	7	-2.9494010805456952e-12	2.1569963418531366e-12
