N	M	R_coefficient	Q_coefficient
14	14	4.972010995147328e-13	-4.447469220399956e-12
15	0	-4.568967925171267e-12	0.0
15	1	-7.406792443761691e-13	-9.727576036286897e-14
15	2	3.2913883234764937e-13	2.5354579544322686e-12
15	3	-3.058489912564819e-12	-2.5675339529212667e-13
15	4	-2.383611868791643e-13	-5.2917234199440265e-12
15	5	2.4888161211403624e-12	-3.703558631383708e-12
15	6	-3.0011569452108235e-13	-1.0178129303767523e-12
15	7	-4.420738470068883e-12	-6.094909461987021e-13
15	8	7.36953463206426e-12	-3.506035358112331e-12
15	9	9.599057617419372e-14	-1.103411139006117e-12
15	10	-2.694294734675654e-12	-6.7607639609826e-13
15	11	-9.105087170408483e-14	-3.893508668272924e-12
15	12	2.053215726109907e-12	2.1489046859352814e-12
15	13	-1.9290628814728324e-12	2.604293897115241e-12
15	14	6.08692750181739e-13	-3.1439806432230717e-12
15	15	-1.0479685852327192e-12	-1.9764438465799816e-12
16	0	2.568563855869075e-13	0.0
16	1	-2.3643365543815297e-12	-2.2095349623903047e-12
16	2	5.203602469982484e-12	-4.967031918860959e-14
16	3	-1.2107964448470687e-12	1.298084284277735e-12
16	4	3.8079518048099395e-13	-1.859049878246142e-12
16	5	1.7040630987032906e-13	-2.4640742900499394e-12
16	6	2.319497998645573e-12	-3.567122360717641e-12
16	7	-4.476564103291422e-12	1.0383776311301526e-12
16	8	2.2036576497046983e-12	-3.6847141288986625e-12
16	9	7.466226319944391e-13	1.2802109608303402e-12
16	10	-1.1073675694970709e-12	3.6200597787764213e-12
16	11	-1.7224011114620388e-12	-3.919140123556366e-12
16	12	-2.3435933557409836e-13	-1.1116794738003377e-13
16	13	8.938430614944998e-13	-6.502386345984457e-14
16	14	2.5133542599093027e-12	-1.1849920741127555e-12
16	15	9.24066575279208e-13	9.633681315772413e-13
16	16	-3.489086397683779e-12	-1.6033608529666938e-12
17	0	4.959127234103067e-13	0.0
17	1	-2.2906834864660825e-12	-2.9730292968597153e-12
17	2	1.9066043449682665e-12	-2.6053772978732944e-12
17	3	2.0165034069353073e-12	9.960716101803163e-13
17	4	1.9640181024427497e-13	-2.2740258455957085e-12
17	5	-5.596119569200879e-13	3.654921249970579e-12
17	6	1.3382593408112715e-12	-1.9681917292915912e-12
17	7	-6.908968146493871e-15	2.346988996053148e-12
17	8	-2.910621746333915e-12	-4.188861297084867e-13
17	9	7.083745672540609e-13	6.437549456938103e-13
17	10	-1.3364114581204333e-12	1.495682533134798e-12
17	11	7.285251634604256e-15	-5.245071253555541e-13
17	12	-7.684746257062804e-13	-3.4662706776902567e-13
17	13	2.6717286766566053e-12	2.0305547418003743e-12
17	14	3.2782760009888013e-12	9.071834626971302e-13
17	15	-2.6358224305491823e-13	7.60399854699432e-13
17	16	-1.2441005404775796e-12	-1.0576989072098969e-12
17	17	-1.5344629135306537e-12	-8.85480673757788e-13
18	0	-4.764104755810341e-13	0.0
18	1	-1.949935184853437e-12	-6.97028091413824e-13
18	2	-2.5445790612851567e-12	-2.864844557038672e-12
18	3	-7.789680713711833e-14	9.34356218750288e-14
18	4	-2.115496823438122e-12	-3.3501093764148074e-12
18	5	1.7583200473658597e-13	2.8208453196748178e-12
18	6	-1.5057989664708744e-12	-5.718411673555167e-13
18	7	2.491718544745258e-12	1.2077697709363368e-12
18	8	5.766056662145192e-13	1.35455577339606e-12
18	9	1.2936483309385359e-12	-6.556366156822406e-13
18	10	-1.118232332794796e-12	-6.15322331333329e-14
18	11	1.6811376991876645e-12	5.62498327723366e-13
18	12	7.409983466502621e-13	-7.361878318513217e-13
18	13	5.745893941796323e-14	1.5494665947452e-12
18	14	2.67400934922677e-12	3.0691526061378184e-13
18	15	5.61640708841286e-13	4.275187409770291e-12
18	16	-6.004732126147446e-12	-8.610545420240405e-13
18	17	1.1497545050695319e-12	-4.315680175020149e-12
18	18	1.6009156147876075e-12	1.1177357729841312e-12
19	0	-8.096635262428736e-13	0.0
19	1	4.373415835089311e-14	-7.263286083983423e-13
19	2	-1.927070559294762e-12	-1.4510049704390867e-12
19	3	-1.5898998269296458e-12	-8.647544242910664e-13
19	4	-1.5134471002925852e-12	-1.1561837301784238e-12
19	5	-5.714811168035506e-15	-1.2235368134638133e-12
19	6	-1.9197691908110634e-12	1.6033527992163793e-12
19	7	5.348132282356262e-13	-3.385372446286337e-13
19	8	1.7195639949638424e-12	4.08709107064903e-13
