N	M	R_coefficient	Q_coefficient
0	0	-4.241848239873794e-10	0.0
1	0	-6.863586536204946e-11	0.0
1	1	-4.706949535605554e-11	1.0137231958483003e-10
2	0	-3.607031047282852e-11	0.0
2	1	1.4255078638409853e-11	7.2428630916513225e-12
2	2	2.2390175314296515e-11	2.6093271883010036e-11
3	0	-6.54516817998366e-11	0.0
3	1	-9.395502041794466e-12	-1.927650446229987e-11
3	2	5.5441731869002545e-12	-3.905249930314457e-11
3	3	6.362972349630298e-11	-2.9958551900298134e-11
4	0	1.7491302807754526e-11	0.0
4	1	-3.255297290235553e-11	-2.0415938643404823e-12
4	2	3.0077561821125754e-12	-3.481004672969917e-11
4	3	5.096915953734692e-12	-1.0093825424343186e-11
4	4	6.324750664692804e-11	-2.5133922777445283e-11
5	0	7.234165424709224e-11	0.0
5	1	1.4647130082643337e-11	4.355892319353491e-12
5	2	1.7086992852141567e-11	1.0107940209669227e-12
5	3	-1.2127816850249066e-11	-2.3927449545033974e-11
5	4	-4.311901944848166e-12	3.080653727487865e-11
5	5	2.537346758145843e-12	-1.5456325188454677e-11
6	0	1.0750270966327784e-11	0.0
6	1	4.10990976737089e-11	-3.533898391933662e-12
6	2	1.7705561640446227e-11	-6.619349034621997e-13
6	3	8.278744115919369e-12	-2.4813156451881378e-11
6	4	-7.737698502533827e-12	4.4697560169882055e-12
6	5	-2.3110569803400176e-13	2.368127505639637e-11
6	6	-1.0406234723690385e-11	-1.2041552613410109e-11
7	0	-3.0323242717342604e-11	0.0
7	1	2.7024616138716693e-12	4.87923948323014e-13
7	2	2.5042629807917303e-13	-5.0819288890391344e-12
7	3	1.0019435730030351e-11	4.609453899320963e-12
7	4	-1.385117219539416e-12	-1.9125957598694627e-11
7	5	-7.502847646693506e-12	8.428420634168563e-12
7	6	3.386101413117571e-12	9.30900286907017e-12
7	7	1.2900073585913036e-12	8.037892034374251e-12
8	0	-1.1359953730049722e-12	0.0
8	1	-2.0442799660594667e-11	8.635601396817587e-12
8	2	-1.57008904195251e-11	3.997905181097574e-12
8	3	3.0457602653290856e-12	9.515305335083776e-12
8	4	-1.0740925148546147e-11	9.719094774376761e-12
8	5	-8.07246373215894e-12	-1.19107825222458e-11
8	6	1.4978825670262283e-13	-1.4091224790404493e-12
8	7	3.6530003448131035e-12	-1.132167949001747e-11
8	8	-2.707549604967206e-12	6.777666465563161e-12
9	0	1.3596586436323763e-11	0.0
9	1	2.149236078222876e-12	2.422496615336336e-12
9	2	-1.148406847521376e-11	5.196069987077111e-12
9	3	2.0612606882441088e-12	-7.209086704452044e-12
9	4	2.592453648224252e-12	1.7715146009376494e-11
9	5	-3.857653010446983e-12	-1.1029713705423013e-12
9	6	-8.171054630573706e-13	-4.367549126648666e-12
9	7	8.96612891915033e-12	2.498155756453862e-12
9	8	-1.434238165346095e-12	-1.26265463635337e-11
9	9	9.32265842337534e-13	-2.931693965514625e-12
10	0	-1.719374980546238e-12	0.0
10	1	1.314014752143316e-11	-8.164799872546414e-12
10	2	5.388640121408176e-12	9.320353557420966e-13
10	3	3.9694969563669736e-13	-6.081266270169024e-12
10	4	1.441146550453008e-11	-4.528437801556043e-12
10	5	1.0646298717668862e-12	4.740769279577468e-12
10	6	1.941197944608444e-12	2.9234937252960158e-12
10	7	6.046913387673562e-12	4.15134360841148e-12
10	8	-3.789479093030207e-13	3.0354305683979477e-12
10	9	-1.1216335547934031e-11	-6.135706044230751e-12
10	10	4.689683002641373e-12	-1.4606098491804503e-12
11	0	-3.820610228080762e-12	0.0
11	1	-5.328674438489469e-12	-4.257731478488946e-12
11	2	1.1041978073539267e-11	-1.6135289316994805e-13
11	3	-2.550789522023136e-12	4.755628388809926e-12
11	4	-6.539274918100419e-14	-7.534788331850948e-12
11	5	2.8491428406163894e-12	-7.217283827359993e-12
11	6	1.1467874289971917e-12	-1.0117703114321237e-15
11	7	-9.271822041442255e-13	1.3440132645499108e-12
11	8	3.406835412226238e-13	3.1663276914911325e-12
11	9	-1.7763658178185776e-13	1.0347722276604468e-12
11	10	-2.5581608075714395e-12	-6.510421629544343e-12
11	11	2.0155666124909714e-12	-2.9145644940398727e-12
12	0	5.438905168935114e-12	0.0
12	1	-1.2821563515917317e-11	3.2035095649772913e-12
12	2	1.8989940280492285e-12	3.6903181471509636e-14
12	3	-2.495912094840295e-13	4.399612196144204e-12
12	4	-1.012718759785237e-11	7.367779197430593e-12
12	5	-3.038128316300538e-12	-8.559074108683897e-12
12	6	-1.4820268628719258e-12	-5.815797894921596e-12
12	7	2.238295781751026e-12	5.234048595161017e-12
12	8	-3.2925256770599417e-12	-3.1273769217120647e-12
12	9	-2.9816948539742914e-12	5.965081659343703e-12
12	10	3.934572522774855e-12	2.807604454271203e-12
12	11	1.93024555005861e-12	-2.000475114745111e-12
12	12	1.4322555225772248e-13	-6.975785270671312e-12
13	0	4.208667201257346e-12	0.0
13	1	-4.777830334222242e-13	8.658633055331618e-14
13	2	-6.230783564916582e-12	6.918036115334803e-14
13	3	3.5297287162671774e-12	-1.0823382630380927e-12
13	4	-2.5767073433376114e-12	8.079140541495755e-12
13	5	-3.644703343494568e-12	4.8425926427311804e-12
13	6	-4.9314979397853516e-12	-1.6558927770243217e-12
13	7	4.1565530096049755e-12	4.578306659480056e-12
13	8	-2.9567212157367677e-12	-1.3554149909275649e-12
13	9	-6.891193571759249e-12	8.789812250278642e-14
13	10	2.0073661164374814e-12	6.4256450374696845e-12
13	11	-1.3065459170855587e-12	-5.255978039901149e-13
13	12	-5.453260275599494e-12	-3.2485262667433396e-12
13	13	-1.0821614182830298e-12	-7.47159603684861e-12
14	0	-2.3732997881311342e-12	0.0
14	1	5.1600812700944295e-12	-1.7295399247954302e-12
14	2	-3.759582476099247e-12	2.571817972050156e-13
14	3	-1.044894355336658e-12	-1.468170659559113e-12
14	4	6.551917285727383e-13	-3.1492478329136766e-12
14	5	2.658600942899187e-12	5.7149463155093355e-12
14	6	-2.3939870996557805e-12	2.2821881239143377e-12
14	7	-7.149777409835104e-13	2.9213352978490088e-12
14	8	4.1698242441339006e-12	2.132679913239918e-13
14	9	-4.588322739187282e-12	-5.546169900053563e-12
14	10	-1.199857461213706e-12	-4.182103636165482e-13
14	11	5.887998438498762e-12	2.1760242511965174e-12
14	12	-4.6188783473019215e-12	2.37160209322125e-12
14	13	-1.4804770287852375e-12	-6.01416425224628e-12
14	14	-2.721155714949674e-12	-3.518083499439973e-12
15	0	-2.7648001930086495e-12	0.0
15	1	1.7686659373229724e-13	2.4557436996147975e-12
15	2	4.229074567468317e-12	5.846488730208161e-13
15	3	-5.799591756643905e-12	1.3281465128808855e-12
15	4	-3.79721723110166e-12	-4.730920354485745e-12
15	5	1.0145939435732908e-12	-4.79906342695062e-12
15	6	3.833276919641806e-12	-1.0409629597803813e-12
15	7	-4.0658181217808415e-12	1.7497884323143654e-12
15	8	6.36323323777623e-12	-7.552565897610595e-13
15	9	-2.7067288465578178e-14	-3.314639983595884e-12
15	10	-2.670374275485862e-12	-6.878340947320105e-13
15	11	2.054729981337911e-12	-4.4603036655929725e-12
15	12	3.201566842993507e-12	1.2445651181332428e-12
15	13	-2.4568442659441017e-12	5.569804923243512e-12
15	14	2.8832725179674703e-12	-1.7202151260713398e-12
15	15	-3.726055827589758e-12	1.7863036222251623e-12
16	0	-1.868554574928329e-13	0.0
16	1	-2.703507525775338e-12	2.4081790230357152e-12
16	2	7.098238860588138e-12	-6.823264802103178e-14
16	3	-3.35896483561263e-13	1.5512420852535121e-12
16	4	-2.1871090635001387e-12	9.852866632679031e-13
16	5	-4.705095726082828e-12	-3.645447152238348e-12
16	6	3.839455641733812e-12	-3.483213627400635e-12
16	7	-3.0246874278216167e-12	1.4041848074378834e-12
16	8	-1.3159981318643664e-12	-7.74705415542448e-13
16	9	1.9400616272266012e-12	-3.0138770924378082e-12
16	10	-3.122293164719572e-13	1.5362577979895586e-12
16	11	-1.4045157303509697e-12	-2.8122522516852286e-12
16	12	1.1540434847301887e-12	-3.917816190403874e-12
16	13	2.656232834769994e-12	1.8506198443164076e-12
16	14	2.6616029568100814e-12	1.870619483496752e-12
16	15	-1.5000363289979655e-12	9.05717117787333e-14
16	16	-2.0445713568156237e-12	2.5124133010862344e-12
17	0	1.2025734470083694e-13	0.0
17	1	-1.8461352329010678e-12	2.286415197482318e-13
17	2	1.904986764337604e-12	-1.3115729881109451e-12
17	3	4.370614263954541e-12	-3.5446368573088367e-13
17	4	2.4986778604241143e-12	4.0305472402224453e-13
17	5	-3.4751993273151186e-12	3.3142407148662812e-12
17	6	-4.875350912972759e-13	-1.8522593326383894e-12
17	7	5.296085256504762e-13	1.7642011021457276e-12
17	8	-2.7504431755075395e-12	7.037262306385425e-13
17	9	-1.225060856611252e-12	-2.7906559237133175e-12
17	10	7.955910181709312e-13	-4.64199461666022e-13
17	11	6.360768190359702e-13	2.038436879715481e-12
17	12	8.756616200019731e-13	-2.504085565492494e-12
17	13	1.1424168370972942e-12	2.373439090736631e-12
17	14	1.46402401126704e-12	2.1465696018903153e-12
17	15	-4.477059054994371e-13	-6.446245147318685e-13
17	16	-3.195028134774015e-12	-2.5064291233548833e-12
17	17	1.3167675655563815e-12	-9.208897913238197e-13
18	0	-4.318903728608912e-13	0.0
18	1	4.2980423913294886e-13	1.623967581879464e-12
18	2	-3.599537715083042e-12	-6.930752926440569e-13
18	3	8.108688019575413e-13	-1.8406826003369704e-13
18	4	1.688541949880858e-12	-3.097598727013381e-12
18	5	5.102227674251989e-13	1.7515219157696847e-12
18	6	-2.0384824595310002e-12	-5.576204228710308e-13
18	7	1.7299814744031962e-12	2.6134535298705e-13
18	8	3.3430236938567208e-12	5.964101929672809e-13
18	9	2.5179707308812683e-13	-1.1970649662341003e-12
